,cell_line,compound,concentration,well_tech,replicate,TimePoint,siRNA,obj_cell_count,AnVPos_0,AnVPos_0.1,PIPos_0,PIPos_0.1,REP_si_conc
1,HepG2,DMSO,0.2,1,R1,1,siGCLC,321,0.100534759,0.097326203,0.082352941,0.082352941,R1_siGCLC_0.2
2,HepG2,DMSO,0.2,1,R1,1,siGCLM,391,0.115115115,0.115115115,0.089089089,0.089089089,R1_siGCLM_0.2
3,HepG2,DMSO,0.2,1,R1,1,siKEAP1,407,0.137067938,0.137067938,0.114421931,0.113230036,R1_siKEAP1_0.2
4,HepG2,DMSO,0.2,1,R1,1,siNFE2L2,576,0.097125097,0.097125097,0.062937063,0.062160062,R1_siNFE2L2_0.2
5,HepG2,DMSO,0.2,1,R1,1,mock,501,0.102604578,0.101026046,0.067087609,0.067087609,R1_mock_0.2
6,HepG2,DMSO,0.2,1,R1,1,siKinasePool,496,0.10978342,0.108289768,0.079910381,0.079163555,R1_siKinasePool_0.2
7,HepG2,DMSO,0.2,1,R1,2,siGCLC,318,0.111358575,0.106904232,0.066815145,0.065701559,R1_siGCLC_0.2
8,HepG2,DMSO,0.2,1,R1,2,siGCLM,381,0.12409514,0.123061013,0.091003102,0.08893485,R1_siGCLM_0.2
9,HepG2,DMSO,0.2,1,R1,2,siKEAP1,404,0.14354067,0.142344498,0.118421053,0.118421053,R1_siKEAP1_0.2
10,HepG2,DMSO,0.2,1,R1,2,siNFE2L2,542,0.103948429,0.103948429,0.062852538,0.062852538,R1_siNFE2L2_0.2
11,HepG2,DMSO,0.2,1,R1,2,mock,514,0.10589172,0.105095541,0.066082803,0.065286624,R1_mock_0.2
12,HepG2,DMSO,0.2,1,R1,2,siKinasePool,488,0.102056359,0.102056359,0.071591775,0.07083016,R1_siKinasePool_0.2
13,HepG2,DMSO,0.2,1,R1,3,siGCLC,313,0.117312073,0.116173121,0.072892938,0.071753986,R1_siGCLC_0.2
