"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","timepoints","data4modelInterpol","data4modelReal","timeID_orig"
"1","apoptotic_cells",1,"KET",1,NA,6.59,6.59,0,NA,NA,NA
"2","apoptotic_cells",1,"KET",2,0.9,6.59,6.59,1,0,0,1
"3","apoptotic_cells",1,"KET",3,2.4,6.59,6.59,2,0,0,2
"4","apoptotic_cells",1,"KET",4,NA,6.59,6.59,3,0.0119191482033183,NA,NA
"5","apoptotic_cells",1,"KET",5,3.9,6.59,6.59,4,0.0303444580934336,0.0294840294840295,3
"6","apoptotic_cells",1,"KET",6,5.4,6.59,6.59,5,0.0269491178361259,0.0233415233415234,4
"7","apoptotic_cells",1,"KET",7,NA,6.59,6.59,6,0.020044395909109,NA,NA
"8","apoptotic_cells",1,"KET",8,6.9,6.59,6.59,7,0.021407523344926,0.0208845208845209,5
"9","apoptotic_cells",1,"KET",9,8.4,6.59,6.59,8,0.0295706135458535,0.0331695331695332,6
"10","apoptotic_cells",1,"KET",10,NA,6.59,6.59,9,0.0375770873989001,NA,NA
"11","apoptotic_cells",1,"KET",11,9.9,6.59,6.59,10,0.0420622974369587,0.0417690417690417,7
"12","apoptotic_cells",1,"KET",12,11.4,6.59,6.59,11,0.0423216630880146,0.0405405405405405,8
"13","apoptotic_cells",1,"KET",13,NA,6.59,6.59,12,0.036157677798342,NA,NA
"14","apoptotic_cells",1,"KET",14,12.9,6.59,6.59,13,0.0366887739966302,0.0356265356265356,9
"15","apoptotic_cells",1,"KET",15,14.4,6.59,6.59,14,0.056683147436829,0.0651105651105651,10
"16","apoptotic_cells",1,"KET",16,NA,6.59,6.59,15,0.0732102543577409,NA,NA
"17","apoptotic_cells",1,"KET",17,15.9,6.59,6.59,16,0.0744241093594345,0.0749385749385749,11
"18","apoptotic_cells",1,"KET",18,17.4,6.59,6.59,17,0.0665839243691146,0.0651105651105651,12
"19","apoptotic_cells",1,"KET",19,NA,6.59,6.59,18,0.0676261780503262,NA,NA
"20","apoptotic_cells",1,"KET",20,18.9,6.59,6.59,19,0.0770205288072255,0.0761670761670761,13
"21","apoptotic_cells",1,"KET",21,20.4,6.59,6.59,20,0.0834907017296834,0.085995085995086,14
"22","apoptotic_cells",1,"KET",22,NA,6.59,6.59,21,0.0904898992804864,NA,NA
"23","apoptotic_cells",1,"KET",23,21.9,6.59,6.59,22,0.0960893381677668,0.0958230958230958,15
"24","apoptotic_cells",1,"KET",24,23.4,6.59,6.59,23,0.0974112069717607,0.0995085995085994,16
"25","apoptotic_cells",1,"KET",25,NA,6.59,6.59,24,0.106141502785574,NA,NA
"26","apoptotic_cells",1,"KET",26,24.9,6.59,6.59,25,0.115861109172414,0.115479115479115,17
"27","apoptotic_cells",1,"KET",27,26.4,6.59,6.59,26,0.110905562514334,0.105651105651106,18
"28","apoptotic_cells",1,"KET",28,NA,6.59,6.59,27,0.0966803289067405,NA,NA
"29","apoptotic_cells",1,"KET",29,27.9,6.59,6.59,28,0.0930325293123666,0.0921375921375922,19
"30","apoptotic_cells",1,"KET",30,29.4,6.59,6.59,29,0.109835054797303,0.113022113022113,20
"31","apoptotic_cells",1,"KET",31,NA,6.59,6.59,30,0.10744206996776,NA,NA
"32","apoptotic_cells",1,"KET",32,30.9,6.59,6.59,31,0.0988501934566092,0.0982800982800983,21
"33","apoptotic_cells",1,"KET",33,32.4,6.59,6.59,32,0.119967477830179,0.128992628992629,22
"34","apoptotic_cells",1,"KET",34,NA,6.59,6.59,33,0.135302262435515,NA,NA
"35","apoptotic_cells",1,"KET",35,33.9,6.59,6.59,34,0.13343965764964,0.133906633906634,23
"36","apoptotic_cells",1,"KET",36,35.4,6.59,6.59,35,0.128457109572674,0.126535626535627,24
"37","apoptotic_cells",1,"KET",37,NA,6.59,6.59,36,0.124588129927981,NA,NA
"38","apoptotic_cells",1,"KET",38,36.9,6.59,6.59,37,0.131906888240223,0.13022113022113,25
"39","apoptotic_cells",1,"KET",39,38.4,6.59,6.59,38,0.1544346041898,0.160933660933661,26
"40","apoptotic_cells",1,"KET",40,NA,6.59,6.59,39,0.16277922240388,NA,NA
"41","apoptotic_cells",1,"KET",41,39.9,6.59,6.59,40,0.158289810746515,0.158476658476658,27
"42","apoptotic_cells",1,"KET",42,41.4,6.59,6.59,41,0.158998902456081,0.157248157248157,28
"43","apoptotic_cells",1,"KET",43,NA,6.59,6.59,42,0.14935783876319,NA,NA
"44","apoptotic_cells",1,"KET",44,42.9,6.59,6.59,43,0.132538486599019,0.133906633906634,29
"45","apoptotic_cells",1,"KET",45,44.4,6.59,6.59,44,0.127771342416646,0.131449631449632,30
"46","apoptotic_cells",1,"KET",46,NA,6.59,6.59,45,0.143129783180038,NA,NA
"47","apoptotic_cells",1,"KET",47,45.9,6.59,6.59,46,0.16507209746284,0.163390663390663,31
"48","apoptotic_cells",1,"KET",48,47.4,6.59,6.59,47,0.16933469891177,0.163390663390663,32
"49","apoptotic_cells",1,"KET",49,NA,6.59,6.59,48,0.147225710523931,NA,NA
"50","apoptotic_cells",1,"KET",50,48.9,6.59,6.59,49,0.133548500958361,0.132678132678133,33
"51","apoptotic_cells",1,"KET",51,50.4,6.59,6.59,50,0.160976868410558,0.16953316953317,34
"52","apoptotic_cells",1,"KET",52,NA,6.59,6.59,51,0.167553505678344,NA,NA
