,StateVar,replID,treatment,timeID,timeAfterExposure,dose_uM,dose_uMadj,timepoints,data4modelInterpol,data4modelReal,timeID_orig
1,apoptotic_cells,1,DMSO,1,NA,0.01,0.01,0,NA,NA,NA
2,apoptotic_cells,1,DMSO,2,0.9,0.01,0.01,1,0.000184728,0,1
3,apoptotic_cells,1,DMSO,3,2.4,0.01,0.01,2,0.001578094,0.001615509,2
4,apoptotic_cells,1,DMSO,4,NA,0.01,0.01,3,0.000940788,NA,NA
5,apoptotic_cells,1,DMSO,5,3.9,0.01,0.01,4,2.11E-05,0,3
6,apoptotic_cells,1,DMSO,6,5.4,0.01,0.01,5,0.001259976,0.001615509,4
7,apoptotic_cells,1,DMSO,7,NA,0.01,0.01,6,0.001325894,NA,NA
8,apoptotic_cells,1,DMSO,8,6.9,0.01,0.01,7,0,0,5
9,apoptotic_cells,1,DMSO,9,8.4,0.01,0.01,8,0,0,6
10,apoptotic_cells,1,DMSO,10,NA,0.01,0.01,9,0.001660497,NA,NA
11,apoptotic_cells,1,DMSO,11,9.9,0.01,0.01,10,0.003147629,0.003231018,7
12,apoptotic_cells,1,DMSO,12,11.4,0.01,0.01,11,0.000553999,0,8
13,apoptotic_cells,1,DMSO,13,NA,0.01,0.01,12,0.000971146,NA,NA
14,apoptotic_cells,1,DMSO,14,12.9,0.01,0.01,13,0.003298647,0.003231018,9
15,apoptotic_cells,1,DMSO,15,14.4,0.01,0.01,14,0.002092072,0.001615509,10
16,apoptotic_cells,1,DMSO,16,NA,0.01,0.01,15,0.001893548,NA,NA
17,apoptotic_cells,1,DMSO,17,15.9,0.01,0.01,16,0.003342175,0.003231018,11
18,apoptotic_cells,1,DMSO,18,17.4,0.01,0.01,17,0.003547437,0.003231018,12
19,apoptotic_cells,1,DMSO,19,NA,0.01,0.01,18,0.002481977,NA,NA
20,apoptotic_cells,1,DMSO,20,18.9,0.01,0.01,19,0.0015958,0.001615509,13
21,apoptotic_cells,1,DMSO,21,20.4,0.01,0.01,20,0.001808395,0.001615509,14
22,apoptotic_cells,1,DMSO,22,NA,0.01,0.01,21,0.000673192,NA,NA
23,apoptotic_cells,1,DMSO,23,21.9,0.01,0.01,22,0.000137059,0,15
24,apoptotic_cells,1,DMSO,24,23.4,0.01,0.01,23,0.003410728,0.004846527,16
25,apoptotic_cells,1,DMSO,25,NA,0.01,0.01,24,0.006283582,NA,NA
26,apoptotic_cells,1,DMSO,26,24.9,0.01,0.01,25,0.008348879,0.008077544,17
27,apoptotic_cells,1,DMSO,27,26.4,0.01,0.01,26,0.011705934,0.012924071,18
28,apoptotic_cells,1,DMSO,28,NA,0.01,0.01,27,0.014211333,NA,NA
29,apoptotic_cells,1,DMSO,29,27.9,0.01,0.01,28,0.01646172,0.016155089,19
30,apoptotic_cells,1,DMSO,30,29.4,0.01,0.01,29,0.019370691,0.019386107,20
31,apoptotic_cells,1,DMSO,31,NA,0.01,0.01,30,0.017282517,NA,NA
32,apoptotic_cells,1,DMSO,32,30.9,0.01,0.01,31,0.012611228,0.012924071,21
33,apoptotic_cells,1,DMSO,33,32.4,0.01,0.01,32,0.012164885,0.012924071,22
34,apoptotic_cells,1,DMSO,34,NA,0.01,0.01,33,0.014341638,NA,NA
35,apoptotic_cells,1,DMSO,35,33.9,0.01,0.01,34,0.014256899,0.01453958,23
36,apoptotic_cells,1,DMSO,36,35.4,0.01,0.01,35,0.012015897,0.01453958,24
37,apoptotic_cells,1,DMSO,37,NA,0.01,0.01,36,0.024211241,NA,NA
38,apoptotic_cells,1,DMSO,38,36.9,0.01,0.01,37,0.03742945,0.037156704,25
39,apoptotic_cells,1,DMSO,39,38.4,0.01,0.01,38,0.030037923,0.027463651,26
40,apoptotic_cells,1,DMSO,40,NA,0.01,0.01,39,0.029442881,NA,NA
41,apoptotic_cells,1,DMSO,41,39.9,0.01,0.01,40,0.035681332,0.035541195,27
42,apoptotic_cells,1,DMSO,42,41.4,0.01,0.01,41,0.033046829,0.033925687,28
43,apoptotic_cells,1,DMSO,43,NA,0.01,0.01,42,0.040693453,NA,NA
44,apoptotic_cells,1,DMSO,44,42.9,0.01,0.01,43,0.050121885,0.050080775,29
45,apoptotic_cells,1,DMSO,45,44.4,0.01,0.01,44,0.041744475,0.038772213,30
46,apoptotic_cells,1,DMSO,46,NA,0.01,0.01,45,0.039806656,NA,NA
47,apoptotic_cells,1,DMSO,47,45.9,0.01,0.01,46,0.049512881,0.048465267,31
48,apoptotic_cells,1,DMSO,48,47.4,0.01,0.01,47,0.057245026,0.05815832,32
49,apoptotic_cells,1,DMSO,49,NA,0.01,0.01,48,0.056851754,NA,NA
50,apoptotic_cells,1,DMSO,50,48.9,0.01,0.01,49,0.055137197,0.054927302,33
51,apoptotic_cells,1,DMSO,51,50.4,0.01,0.01,50,0.060938331,0.063004847,34
52,apoptotic_cells,1,DMSO,52,NA,0.01,0.01,51,0.063607394,NA,NA
53,apoptotic_cells,1,DMSO,53,51.9,0.01,0.01,52,0.06111858,0.061389338,35
54,apoptotic_cells,1,DMSO,54,53.4,0.01,0.01,53,0.060226671,0.061389338,36
55,apoptotic_cells,1,DMSO,55,NA,0.01,0.01,54,0.065186499,NA,NA
56,apoptotic_cells,1,DMSO,56,54.9,0.01,0.01,55,0.073464944,0.0726979,37
57,apoptotic_cells,1,DMSO,57,56.4,0.01,0.01,56,0.076789002,0.074313409,38
58,apoptotic_cells,1,DMSO,58,NA,0.01,0.01,57,0.065533479,NA,NA
59,apoptotic_cells,1,DMSO,59,57.9,0.01,0.01,58,0.048839093,0.050080775,39
60,apoptotic_cells,1,DMSO,60,59.4,0.01,0.01,59,0.044681623,0.046849758,40
61,apoptotic_cells,1,DMSO,61,NA,0.01,0.01,60,0.053070581,NA,NA
62,apoptotic_cells,1,DMSO,62,60.9,0.01,0.01,61,0.061726389,0.061389338,41
63,apoptotic_cells,1,DMSO,63,62.4,0.01,0.01,62,0.05823161,0.054927302,42
64,live_cells,1,DMSO,1,NA,0.01,0.01,0,NA,NA,NA
65,live_cells,1,DMSO,2,0.9,0.01,0.01,1,1.003944646,1,1
