X,est_value
EC_10,0.004986716
EC_50,0.024933581
EC_101,0.053804806
EC_202,0.111547257
EC_404,0.197943249
tau1,0.203352373
degrade,0.038045299
n,1
sc_ISR,0.238711574
sc_OSR,0.214810805
buildA4Base,0
V_A4S,0.135310636
Vmax_C,0.027409048
nC,2.071803163
K_C,0.787525822
k_K1_mod,1000
k_K1_unmod,20.48402412
buildN2Base,0.160287216
V_degN2,0.271710303
buildS1Base,522.7743341
Vmax_S1,999.9977045
nS1,6.826606399
K_S1,0.99721914
V_N2A4,0.5
buildGBase,0.167030799
Vmax_G,0.134030187
nG,5.789006117
K_G,1.229425799
degGA4,5.13E-22
degradA4,0
degradC,0.008997585
degradN2,0.290768594
degradS1,1159.250839
degradG,0.168399239
