,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
1,DMSO,0.2,R1,0,siKinasePool,Apop_cells,NA
2,DMSO,0.2,R1,0,siKinasePool,Live_cells,NA
3,DMSO,0.2,R1,0,siKinasePool,Total_cells,1
4,DMSO,0.2,R1,1,siKinasePool,Apop_cells,0.115997481
5,DMSO,0.2,R1,1,siKinasePool,Live_cells,0.884002519
6,DMSO,0.2,R1,1,siKinasePool,Total_cells,1
7,DMSO,0.2,R1,2,siKinasePool,Apop_cells,0.113191297
8,DMSO,0.2,R1,2,siKinasePool,Live_cells,0.889717371
9,DMSO,0.2,R1,2,siKinasePool,Total_cells,1.002908668
10,DMSO,0.2,R1,3,siKinasePool,Apop_cells,0.115059783
11,DMSO,0.2,R1,3,siKinasePool,Live_cells,0.876214213
12,DMSO,0.2,R1,3,siKinasePool,Total_cells,0.991273997
13,DMSO,0.2,R1,4,siKinasePool,Apop_cells,0.122911409
14,DMSO,0.2,R1,4,siKinasePool,Live_cells,0.89163193
15,DMSO,0.2,R1,4,siKinasePool,Total_cells,1.014543339
16,DMSO,0.2,R1,5,siKinasePool,Apop_cells,0.129834744
17,DMSO,0.2,R1,5,siKinasePool,Live_cells,0.902742335
18,DMSO,0.2,R1,5,siKinasePool,Total_cells,1.03257708
19,DMSO,0.2,R1,6,siKinasePool,Apop_cells,0.140637524
20,DMSO,0.2,R1,6,siKinasePool,Live_cells,0.913463698
21,DMSO,0.2,R1,6,siKinasePool,Total_cells,1.054101222
22,DMSO,0.2,R1,7,siKinasePool,Apop_cells,0.158763009
23,DMSO,0.2,R1,7,siKinasePool,Live_cells,0.92267969
24,DMSO,0.2,R1,7,siKinasePool,Total_cells,1.081442699
25,DMSO,0.2,R1,8,siKinasePool,Apop_cells,0.181433674
26,DMSO,0.2,R1,8,siKinasePool,Live_cells,0.944220777
27,DMSO,0.2,R1,8,siKinasePool,Total_cells,1.12565445
28,DMSO,0.2,R1,9,siKinasePool,Apop_cells,0.204120692
29,DMSO,0.2,R1,9,siKinasePool,Live_cells,0.966908976
30,DMSO,0.2,R1,9,siKinasePool,Total_cells,1.171029668
31,DMSO,0.2,R1,10,siKinasePool,Apop_cells,0.225652056
32,DMSO,0.2,R1,10,siKinasePool,Live_cells,0.990752831
33,DMSO,0.2,R1,10,siKinasePool,Total_cells,1.216404887
34,DMSO,0.2,R1,11,siKinasePool,Apop_cells,0.247618194
35,DMSO,0.2,R1,11,siKinasePool,Live_cells,0.991474302
36,DMSO,0.2,R1,11,siKinasePool,Total_cells,1.239092496
37,DMSO,0.2,R1,12,siKinasePool,Apop_cells,0.260132605
38,DMSO,0.2,R1,12,siKinasePool,Live_cells,1.023171641
39,DMSO,0.2,R1,12,siKinasePool,Total_cells,1.283304247
40,DMSO,0.2,R1,13,siKinasePool,Apop_cells,0.271454504
41,DMSO,0.2,R1,13,siKinasePool,Live_cells,1.038027754
42,DMSO,0.2,R1,13,siKinasePool,Total_cells,1.309482257
43,DMSO,0.2,R1,14,siKinasePool,Apop_cells,0.296997546
44,DMSO,0.2,R1,14,siKinasePool,Live_cells,1.064840732
45,DMSO,0.2,R1,14,siKinasePool,Total_cells,1.361838278
46,DMSO,0.2,R1,15,siKinasePool,Apop_cells,0.313476754
47,DMSO,0.2,R1,15,siKinasePool,Live_cells,1.074539534
48,DMSO,0.2,R1,15,siKinasePool,Total_cells,1.388016289
49,DMSO,0.2,R1,16,siKinasePool,Apop_cells,0.320772856
50,DMSO,0.2,R1,16,siKinasePool,Live_cells,1.080623304
51,DMSO,0.2,R1,16,siKinasePool,Total_cells,1.401396161
52,DMSO,0.2,R1,17,siKinasePool,Apop_cells,0.354088021
53,DMSO,0.2,R1,17,siKinasePool,Live_cells,1.09791896
54,DMSO,0.2,R1,17,siKinasePool,Total_cells,1.452006981
55,DMSO,0.2,R1,18,siKinasePool,Apop_cells,0.361692103
56,DMSO,0.2,R1,18,siKinasePool,Live_cells,1.117074622
57,DMSO,0.2,R1,18,siKinasePool,Total_cells,1.478766725
58,DMSO,0.2,R1,19,siKinasePool,Apop_cells,0.382848808
59,DMSO,0.2,R1,19,siKinasePool,Live_cells,1.112206457
60,DMSO,0.2,R1,19,siKinasePool,Total_cells,1.495055265
61,DMSO,0.2,R1,20,siKinasePool,Apop_cells,0.398684958
62,DMSO,0.2,R1,20,siKinasePool,Live_cells,1.132437788
63,DMSO,0.2,R1,20,siKinasePool,Total_cells,1.531122746
64,DMSO,0.2,R2,0,siKinasePool,Apop_cells,NA
65,DMSO,0.2,R2,0,siKinasePool,Live_cells,NA
66,DMSO,0.2,R2,0,siKinasePool,Total_cells,1
67,DMSO,0.2,R2,1,siKinasePool,Apop_cells,0.112299643
68,DMSO,0.2,R2,1,siKinasePool,Live_cells,0.887700357
69,DMSO,0.2,R2,1,siKinasePool,Total_cells,1
70,DMSO,0.2,R2,2,siKinasePool,Apop_cells,0.108845847
71,DMSO,0.2,R2,2,siKinasePool,Live_cells,0.878546703
72,DMSO,0.2,R2,2,siKinasePool,Total_cells,0.98739255
73,DMSO,0.2,R2,3,siKinasePool,Apop_cells,0.113921768
74,DMSO,0.2,R2,3,siKinasePool,Live_cells,0.894674221
