,treatment,dose_uM,timeID,mean_time,mean_count,sd_count,mean_count_norm,sd_count_norm,mean_PI,sd_PI,mean_AnV,sd_AnV
1,DIC,10.1,1,0.944117647,878.8823529,210.1523999,1,0,0.023162833,0.024227393,0.026909154,0.05935543
2,DIC,10.1,2,2.576470588,902.2941176,216.3057992,1.025823443,0.026847816,0.016123744,0.018869437,0.023948969,0.046645557
3,DIC,10.1,3,4.208823529,919.7794118,219.6085771,1.045591552,0.04165266,0.007699814,0.010456175,0.020882132,0.035605844
4,DIC,10.1,4,5.841176471,931.2352941,230.9664555,1.056237298,0.048829379,0.004300367,0.00754652,0.017349076,0.031403949
5,DIC,10.1,5,7.473529412,959.7941176,234.8908876,1.089653015,0.072986798,0.003054401,0.0065925,0.025916442,0.042291582
6,DIC,10.1,6,9.105882353,987.3970588,239.5545671,1.121410618,0.072020474,0.002190709,0.004161029,0.028069008,0.046721934
7,DIC,10.1,7,10.73823529,1014.235294,246.4476168,1.152110534,0.091417023,0.001777893,0.003182901,0.029027013,0.052098239
8,DIC,10.1,8,12.37058824,1037.044118,246.2401011,1.180161025,0.089501622,0.001743587,0.002703698,0.026236055,0.043826026
9,DIC,10.1,9,14.00294118,1056.5,252.8160488,1.202400298,0.10087255,0.001344623,0.003119892,0.028914106,0.046964252
10,DIC,10.1,10,15.71176471,1077.352941,253.8098647,1.228180747,0.113143179,0.001493916,0.003776968,0.02802202,0.041514828
11,DIC,10.1,11,17.34411765,1100.411765,250.8492687,1.257726036,0.119497312,0.001183573,0.003706071,0.029064494,0.045048527
12,DIC,10.1,12,19.05882353,1116.779412,254.3432777,1.27558594,0.123287481,0.001329315,0.003426273,0.028662848,0.038248937
13,DIC,10.1,13,20.69117647,1136.132353,254.0940922,1.299414858,0.131004291,0.001399247,0.003878164,0.029406883,0.040737951
14,DIC,10.1,14,22.32352941,1151.102941,259.6783494,1.316490683,0.140407773,0.001556392,0.004228991,0.028968143,0.036332521
15,DIC,10.1,15,23.95588235,1173.985294,254.8661706,1.345148287,0.133995882,0.00126453,0.003400922,0.030061029,0.037266136
16,DIC,10.1,16,25.58823529,1183.941176,253.0672675,1.358555447,0.14339365,0.001241708,0.003400145,0.030018594,0.030955886
17,DIC,10.1,17,27.22058824,1203.205882,255.3211619,1.380963627,0.136918391,0.00152519,0.003683392,0.031297791,0.033539735
18,DIC,10.1,18,28.85294118,1211.867647,254.0260756,1.392584282,0.153283564,0.001407603,0.002779984,0.030579924,0.030213746
19,DIC,10.1,19,30.48529412,1225.647059,255.3059522,1.409453849,0.15485959,0.001269766,0.002296148,0.031762136,0.028431776
20,DIC,10.1,20,32.11764706,1233.205882,256.4817944,1.418942189,0.167239579,0.001283186,0.002512057,0.031054135,0.028801982
21,DIC,10.1,21,33.86176471,1238.573529,249.0506865,1.427516633,0.163455389,0.001470369,0.002557006,0.033647911,0.032484556
22,DIC,10.1,22,35.49411765,1251.176471,257.2261381,1.440852937,0.170284318,0.001402555,0.002490647,0.032416413,0.028654058
23,DIC,10.1,23,37.12647059,1263.911765,252.8351203,1.458515643,0.176930483,0.001719544,0.003404525,0.033508341,0.031282566
24,DIC,10.1,24,38.75882353,1267.044118,255.8154628,1.461323082,0.175832042,0.001679529,0.003606713,0.035960559,0.03138424
25,DIC,10.1,25,40.39117647,1270.5,248.4212271,1.468086187,0.181480581,0.001790124,0.00343425,0.037854196,0.030036291
26,DIC,10.1,26,42.02352941,1282.235294,247.9831444,1.482654218,0.185345796,0.00212773,0.004057001,0.039628971,0.031694727
27,DIC,10.1,27,43.65588235,1285.161765,245.0842997,1.487108361,0.18375264,0.001776973,0.003221676,0.039823341,0.033035455
28,DIC,10.1,28,45.28823529,1289.720588,253.7198166,1.491785258,0.19237522,0.001985343,0.003721586,0.039146394,0.036392038
29,DIC,10.1,29,46.92058824,1293.147059,257.587747,1.496911861,0.205013935,0.002248752,0.003929259,0.040059106,0.036838605
30,DIC,10.1,30,48.06969697,1300.045455,253.5799727,1.493735945,0.205457218,0.002450971,0.004775201,0.040658272,0.036067456
31,DIC,10.1,31,49.69090909,1311.166667,241.1573224,1.510025763,0.203913953,0.002684642,0.004437117,0.044595535,0.038271021
32,DIC,10.1,32,50.8,1327.09375,221.9681188,1.511994299,0.213794951,0.002082347,0.004086752,0.043833605,0.036875373
33,DIC,10.1,33,52.01935484,1316.790323,227.225137,1.509733114,0.214464215,0.002212144,0.004706657,0.045172527,0.0388179
34,DIC,10.1,34,53.61612903,1321.032258,227.2138837,1.515737326,0.224757449,0.00256594,0.004523982,0.045703584,0.040418774
35,DIC,10.1,35,51.936,1338.26,204.7234476,1.503367803,0.219448905,0.000878663,0.001195792,0.033776768,0.027625012
36,DIC,10.1,36,53.436,1339.26,199.5192723,1.506941722,0.230151662,0.000892491,0.001155207,0.034665553,0.031333993
37,DIC,10.1,37,54.936,1346.54,196.1476867,1.513942095,0.216364292,0.00118471,0.001237853,0.034708714,0.031073544
38,DIC,10.1,38,56.436,1348.86,188.6553582,1.517533088,0.214596675,0.00138234,0.001434796,0.03488878,0.030934965
39,DIC,10.1,39,57.936,1352.4,179.6312774,1.524075904,0.224133571,0.00124695,0.001761488,0.035435448,0.0320794
40,DIC,10.1,40,59.436,1354.2,182.7321013,1.526101128,0.227720166,0.001353053,0.001761979,0.035856505,0.031666155
41,DIC,10.1,41,60.936,1363.6,185.8639175,1.536679145,0.229132678,0.001278161,0.001398602,0.035651575,0.03218379
42,DIC,10.1,42,62.436,1349.16,191.218882,1.520056336,0.23060334,0.001542956,0.001761133,0.034010393,0.030579232
43,DIC,50.5,1,0.944117647,858.7205882,228.8198044,1,0,0.01854304,0.013172747,0.031995001,0.069262626
44,DIC,50.5,2,2.576470588,873.8823529,234.8514379,1.016693624,0.023892175,0.01323475,0.012600867,0.024715839,0.039665136
45,DIC,50.5,3,4.208823529,896.8676471,243.7124892,1.042199805,0.037882875,0.007523799,0.009269717,0.024165944,0.033693459
46,DIC,50.5,4,5.841176471,909.7794118,247.1786617,1.057482468,0.045191779,0.004890264,0.007440302,0.029985043,0.057447893
47,DIC,50.5,5,7.473529412,931.2794118,256.1276076,1.081435286,0.053697353,0.00247911,0.005009898,0.0236282,0.039268878
