,treatment,dose_uM,timeID,mean_time,mean_count,sd_count,mean_count_norm,sd_count_norm,mean_PI,sd_PI,mean_AnV,sd_AnV
1,KET,6.6,1,0.944117647,924.3676471,207.094961,1,0,0.014955335,0.015496886,0.031481205,0.094044716
2,KET,6.6,2,2.576470588,944.0294118,203.2811883,1.023295782,0.02715904,0.008553903,0.012109238,0.014150561,0.020092143
3,KET,6.6,3,4.208823529,966.6176471,206.8219868,1.047949415,0.031585462,0.005764324,0.011472417,0.015884597,0.023824585
4,KET,6.6,4,5.841176471,984.9558824,214.0523997,1.067213508,0.047744215,0.004850701,0.010554315,0.024445083,0.037790473
5,KET,6.6,5,7.473529412,1008.367647,219.371254,1.092726569,0.057999513,0.003525727,0.009384508,0.020601268,0.032827501
6,KET,6.6,6,9.105882353,1042.647059,225.572018,1.130070959,0.063683621,0.002232922,0.006048538,0.020832665,0.031113117
7,KET,6.6,7,10.73823529,1067.470588,226.6364042,1.158024852,0.070085887,0.001714641,0.003984458,0.030326513,0.048247154
8,KET,6.6,8,12.37058824,1097.647059,231.3369748,1.191536793,0.085062973,0.001273103,0.001916083,0.025821587,0.036544584
9,KET,6.6,9,14.00294118,1115.132353,228.8683394,1.212123968,0.0864782,0.001218427,0.002328989,0.028662555,0.03724247
10,KET,6.6,10,15.71176471,1132.941176,227.8962006,1.233164819,0.09685285,0.00109539,0.002202269,0.034217673,0.044400999
11,KET,6.6,11,17.39090909,1148.393939,234.7657994,1.253600779,0.10026685,0.000863552,0.001562708,0.034751044,0.03776339
12,KET,6.6,12,19.05882353,1163.161765,226.8288876,1.268604074,0.113208559,0.000837448,0.001441154,0.040754397,0.047575831
13,KET,6.6,13,20.69117647,1178.161765,231.6826042,1.283760614,0.102798548,0.00081112,0.001274514,0.03657324,0.035928382
14,KET,6.6,14,22.32352941,1195.823529,225.2199895,1.306138173,0.118713586,0.000909197,0.001457476,0.042413316,0.039472179
15,KET,6.6,15,23.95588235,1200.088235,228.1681155,1.310258907,0.118482539,0.000762685,0.001122124,0.040842377,0.035875478
16,KET,6.6,16,25.58823529,1210.044118,230.1693174,1.321258619,0.119882178,0.00081313,0.001009099,0.042541456,0.039760134
17,KET,6.6,17,27.22058824,1224.044118,227.2000309,1.338487606,0.127903216,0.000851328,0.001541753,0.041918569,0.035771749
18,KET,6.6,18,28.85294118,1234.985294,231.3999059,1.350633527,0.138094242,0.000712333,0.000984876,0.04361679,0.039313457
19,KET,6.6,19,30.48529412,1235.441176,225.8763997,1.353201799,0.144446464,0.000722085,0.001040545,0.046231224,0.041968029
20,KET,6.6,20,32.11764706,1251.161765,232.2218675,1.369631089,0.146463999,0.000936806,0.001343824,0.047464237,0.03858426
21,KET,6.6,21,33.86176471,1253.191176,237.4387964,1.370503042,0.143439599,0.00095309,0.001551738,0.048514442,0.038563995
22,KET,6.6,22,35.49411765,1262.352941,236.4100998,1.381573698,0.148423774,0.001111932,0.001642596,0.051750914,0.041831309
23,KET,6.6,23,37.12647059,1267.867647,238.3958164,1.388701895,0.163139647,0.001137105,0.002184622,0.051046851,0.037550981
24,KET,6.6,24,38.75882353,1279.970588,241.0714072,1.402306154,0.169482392,0.00123024,0.00230168,0.051685674,0.036584805
25,KET,6.6,25,40.39117647,1291.161765,235.4670639,1.41553128,0.163049247,0.001433278,0.002308685,0.053955776,0.037600388
26,KET,6.6,26,42.02352941,1287,231.5966648,1.413106001,0.1770178,0.001388512,0.002580874,0.055115096,0.039946137
27,KET,6.6,27,43.65588235,1280.294118,233.3096238,1.405544884,0.179336565,0.001652183,0.003297624,0.05774382,0.041366441
28,KET,6.6,28,45.28823529,1289.382353,235.4976696,1.416333956,0.188246842,0.001833843,0.003828684,0.057830335,0.042239432
29,KET,6.6,29,46.92058824,1290.867647,233.9712916,1.417812418,0.18471441,0.001964665,0.003637594,0.060123659,0.045947123
30,KET,6.6,30,48.06969697,1313.363636,214.4470824,1.43511772,0.162683849,0.001762489,0.003705271,0.056710905,0.041584575
31,KET,6.6,31,49.69090909,1314.287879,216.3708488,1.436764483,0.172650713,0.002162291,0.004564623,0.057636656,0.043218451
32,KET,6.6,32,50.8,1339.671875,196.4807144,1.454600823,0.184366116,0.00187487,0.00383342,0.060557971,0.042991837
33,KET,6.6,33,52.01935484,1333.177419,205.9466981,1.454934301,0.184460539,0.002287872,0.005643106,0.060053332,0.042238456
34,KET,6.6,34,53.61612903,1332.725806,206.0985945,1.454930873,0.191269683,0.002094543,0.006030849,0.063087794,0.045266636
35,KET,6.6,35,51.936,1368.36,196.287869,1.48211705,0.173763693,0.000613966,0.000749689,0.05438666,0.038006659
36,KET,6.6,36,53.436,1376.68,193.8559861,1.49230339,0.180582903,0.000557342,0.000701086,0.053255492,0.038488856
37,KET,6.6,37,54.936,1363.68,188.1304888,1.480109141,0.191224448,0.000722474,0.000819719,0.055828651,0.042937026
38,KET,6.6,38,56.436,1372.62,181.3251155,1.491048086,0.190634605,0.000717342,0.000720802,0.056354657,0.039058405
39,KET,6.6,39,57.936,1373.68,178.6479242,1.493990591,0.203225575,0.000575231,0.000782762,0.055120247,0.038237743
40,KET,6.6,40,59.436,1369.3,183.2083855,1.486943892,0.188831069,0.000607034,0.000767366,0.05745843,0.041542836
41,KET,6.6,41,60.936,1369.2,178.8503215,1.48747458,0.188490782,0.000558853,0.000870636,0.056066843,0.039568206
42,KET,6.6,42,62.436,1370.76,173.6336013,1.491073698,0.19630737,0.000751651,0.001203467,0.05583228,0.038680484
43,KET,33,1,0.944117647,910.8823529,189.5194105,1,0,0.017753213,0.016694905,0.032372999,0.080188105
44,KET,33,2,2.576470588,932.0588235,191.8969012,1.02423602,0.026370014,0.012292268,0.014913234,0.030200252,0.075531645
45,KET,33,3,4.208823529,945.7794118,202.4150099,1.037398744,0.03394635,0.005985679,0.010778701,0.026842621,0.060578729
46,KET,33,4,5.841176471,971.8088235,211.839026,1.065105465,0.041618292,0.003825914,0.01066839,0.026830421,0.056513009
47,KET,33,5,7.473529412,993.7352941,213.7595022,1.090045606,0.04407483,0.0030854,0.008234267,0.038251303,0.098072427
48,KET,33,6,9.105882353,1025.397059,223.701295,1.123894318,0.053014174,0.002248357,0.005594095,0.036206279,0.066519524
49,KET,33,7,10.73823529,1050.558824,227.3344807,1.151853553,0.060543901,0.001523354,0.003824783,0.037147422,0.050598443
50,KET,33,8,12.37058824,1067.882353,225.9152113,1.172525976,0.058895994,0.001019232,0.002004935,0.046679253,0.06495373
51,KET,33,9,14.00294118,1089.161765,225.5362203,1.197306639,0.06232169,0.000854936,0.001386798,0.045783535,0.063036856
52,KET,33,10,15.71176471,1106.647059,227.8682677,1.216366481,0.060089684,0.000762789,0.002206767,0.04813284,0.056045549
53,KET,33,11,17.39090909,1114.121212,223.2090889,1.232985196,0.057292386,0.000511996,0.001138637,0.049892841,0.056628524
54,KET,33,12,19.05882353,1141.132353,217.831298,1.259311721,0.073529846,0.000564598,0.001522592,0.057112015,0.063684565
55,KET,33,13,20.69117647,1147.5,226.1912907,1.264978004,0.080612064,0.000500716,0.001305848,0.060556668,0.062507672
56,KET,33,14,22.32352941,1166.5,223.3464492,1.287823895,0.087082926,0.000395544,0.000738869,0.064834869,0.067163614
57,KET,33,15,23.95588235,1168.705882,222.1165786,1.290885475,0.08611795,0.000581986,0.000956028,0.068464684,0.08354503
58,KET,33,16,25.58823529,1177.926471,221.6500153,1.302027196,0.097686915,0.000677529,0.000893027,0.071095666,0.069488548
59,KET,33,17,27.22058824,1189.838235,213.901518,1.317446538,0.100923181,0.000682564,0.000858092,0.071556786,0.069564432
60,KET,33,18,28.85294118,1193.235294,215.5427341,1.322052562,0.112276962,0.000665655,0.00076371,0.076668911,0.073615058
61,KET,33,19,30.48529412,1200.485294,215.2984358,1.33066907,0.116480456,0.00069362,0.000933238,0.081738241,0.080899312
62,KET,33,20,32.11764706,1211.794118,220.3889852,1.342455049,0.116939938,0.000595776,0.000818162,0.082963052,0.077794339
63,KET,33,21,33.86176471,1208.397059,223.1319008,1.337767387,0.108936675,0.000654491,0.000939375,0.087572252,0.081488144
64,KET,33,22,35.49411765,1214.617647,217.7385511,1.346982582,0.122601642,0.000822699,0.001075636,0.09016528,0.08510094
65,KET,33,23,37.12647059,1226.088235,214.4347563,1.361819992,0.137328352,0.0010396,0.001243941,0.089891359,0.083260136
66,KET,33,24,38.75882353,1221.088235,213.3672844,1.357022197,0.141368401,0.000887842,0.00120261,0.092646273,0.08683605
67,KET,33,25,40.39117647,1226.411765,215.4333712,1.362708846,0.144626368,0.000843084,0.001171394,0.093386312,0.084839621
68,KET,33,26,42.02352941,1232.808824,215.5741458,1.370459645,0.147828387,0.001178711,0.001587667,0.09622765,0.088243808
69,KET,33,27,43.65588235,1236.117647,218.7953956,1.373968654,0.150435887,0.001082336,0.001470059,0.098687615,0.089510157
70,KET,33,28,45.28823529,1239.352941,212.9035395,1.379687058,0.155518647,0.001130805,0.00212147,0.101370149,0.093357699
71,KET,33,29,46.92058824,1239.191176,212.7232522,1.379947842,0.162254164,0.001200257,0.001776166,0.102125274,0.089855123
72,KET,33,30,48.06969697,1243.833333,213.8707505,1.385606032,0.169590231,0.001456472,0.002374161,0.101154354,0.092166162
73,KET,33,31,49.69090909,1246.530303,211.429729,1.389444759,0.173621502,0.001521884,0.002439986,0.103383129,0.093603386
74,KET,33,32,50.8,1268.8125,198.8855543,1.396566309,0.177731004,0.001395902,0.002411097,0.105545277,0.093405356
75,KET,33,33,52.01935484,1273.66129,204.9398036,1.411438867,0.186611377,0.001548184,0.003013607,0.106025237,0.095624435
76,KET,33,34,53.61612903,1269.645161,194.5040785,1.409413465,0.190413273,0.001645685,0.003488295,0.10848001,0.096184562
77,KET,33,35,51.936,1312.16,162.5389517,1.443869584,0.181894965,0.000516229,0.000569063,0.081921107,0.071081047
78,KET,33,36,53.436,1318.38,163.2265986,1.451503907,0.1894575,0.000530358,0.000564812,0.08114032,0.07522891
79,KET,33,37,54.936,1314.8,164.5593231,1.447344722,0.187868724,0.000796714,0.00074501,0.081803816,0.07576153
80,KET,33,38,56.436,1318.94,163.142213,1.453727118,0.20059213,0.001150116,0.00106884,0.082386824,0.077548484
81,KET,33,39,57.936,1323.46,162.5264671,1.458222156,0.196591843,0.001068489,0.001372178,0.087829691,0.084423198
82,KET,33,40,59.436,1313.98,165.8963331,1.448434666,0.203923127,0.000997722,0.001273179,0.086737615,0.083290687
83,KET,33,41,60.936,1309.94,167.4353308,1.442845447,0.195700897,0.000960352,0.001157681,0.087928118,0.0858899
84,KET,33,42,62.436,1303.44,151.291683,1.438309159,0.202866215,0.001095826,0.001332723,0.086487735,0.081891459
85,KET,66,1,0.944117647,942.5441176,179.8349566,1,0,0.0197296,0.020462877,0.03960109,0.13453021
86,KET,66,2,2.576470588,962.9705882,181.8277965,1.022111812,0.024316215,0.013170976,0.015293215,0.022255781,0.028582576
87,KET,66,3,4.208823529,978.1323529,189.5491984,1.037393308,0.032046419,0.00635834,0.008014021,0.023590266,0.034043828
88,KET,66,4,5.841176471,993.1470588,195.8649631,1.052630846,0.037808847,0.003036377,0.004193483,0.029258604,0.047154315
