,treatment,dose_uM,timeID,mean_time,mean_count,sd_count,mean_count_norm,sd_count_norm,mean_PI,sd_PI,mean_AnV,sd_AnV
1,NIT,6,1,0.944117647,927.75,201.861498,1,0,0.015595702,0.011940368,0.02125946,0.04013973
2,NIT,6,2,2.576470588,940.4558824,203.63263,1.014298713,0.026201368,0.010310841,0.00955224,0.020263476,0.039687194
3,NIT,6,3,4.208823529,959.6029412,211.7464099,1.034076601,0.036506693,0.00574588,0.006296071,0.021428692,0.034545196
4,NIT,6,4,5.841176471,981.4558824,212.7887118,1.058395971,0.042947515,0.00352246,0.004284571,0.020478819,0.02946236
5,NIT,6,5,7.473529412,998.7205882,215.6276319,1.077558452,0.054411756,0.002209318,0.002829906,0.021435142,0.030531659
6,NIT,6,6,9.105882353,1029.720588,215.6259806,1.112650887,0.061926547,0.001719464,0.002327275,0.01814454,0.026012494
7,NIT,6,7,10.73823529,1053.691176,225.0967474,1.137467915,0.069814816,0.001268788,0.001764381,0.021472482,0.02964495
8,NIT,6,8,12.37058824,1073.764706,227.4335479,1.159918722,0.078444934,0.001216272,0.00164836,0.024827049,0.029080977
9,NIT,6,9,14.00294118,1089.911765,230.1113193,1.177715945,0.087938561,0.001080783,0.001215192,0.023675392,0.027653824
10,NIT,6,10,15.71176471,1106.794118,228.8952426,1.197812548,0.097053469,0.000872376,0.001247264,0.02553484,0.025586667
11,NIT,6,11,17.39090909,1117.166667,224.59918,1.222483247,0.101526821,0.000710588,0.001268486,0.025928425,0.0254545
12,NIT,6,12,19.05882353,1133.617647,222.8201836,1.229408416,0.097333749,0.000861791,0.001502583,0.028885522,0.026859451
13,NIT,6,13,20.69117647,1149.279412,220.7995523,1.248190923,0.109704719,0.000856642,0.001510939,0.028789844,0.027111269
14,NIT,6,14,22.32352941,1162.529412,222.0984269,1.263142423,0.114252856,0.000797729,0.00127461,0.030133234,0.026385249
15,NIT,6,15,23.95588235,1174.191176,223.21365,1.276666263,0.124726092,0.000880873,0.001309398,0.031101783,0.026457922
16,NIT,6,16,25.58823529,1176.308824,226.2328518,1.278870306,0.131188438,0.001028049,0.001578667,0.033030915,0.028715307
17,NIT,6,17,27.22058824,1184.779412,222.6195011,1.28892435,0.12724031,0.000849392,0.001306173,0.034679393,0.02917415
18,NIT,6,18,28.85294118,1189.544118,220.6919685,1.295050587,0.130905823,0.000851263,0.001109156,0.036971773,0.03063939
19,NIT,6,19,30.48529412,1199.955882,219.9841719,1.308142841,0.146774155,0.001092788,0.001925276,0.039778722,0.031636849
20,NIT,6,20,32.11764706,1192.823529,217.1420734,1.300717284,0.144711359,0.001171073,0.001532688,0.038392672,0.028812622
21,NIT,6,21,33.86176471,1202.132353,216.7975703,1.311700724,0.145943489,0.001475543,0.002346555,0.043074921,0.034414817
22,NIT,6,22,35.49411765,1205.838235,218.648352,1.315052969,0.141361387,0.001695698,0.002946243,0.044746167,0.034645984
23,NIT,6,23,37.12647059,1211.632353,220.8060066,1.322237284,0.155510882,0.001591758,0.002740782,0.047646387,0.039507911
24,NIT,6,24,38.75882353,1213.764706,219.3072853,1.324747249,0.155838523,0.001701515,0.003240432,0.049606045,0.039239523
25,NIT,6,25,40.39117647,1212.955882,215.9226281,1.324905541,0.155202751,0.00170128,0.003416245,0.050602861,0.038380824
26,NIT,6,26,42.02352941,1210.838235,216.8151957,1.323497863,0.164372086,0.001784855,0.003242292,0.050690292,0.038038713
27,NIT,6,27,43.65588235,1212.014706,211.0271591,1.326196563,0.166862987,0.002037226,0.003634076,0.05484344,0.039202557
28,NIT,6,28,45.28823529,1214.941176,211.7683399,1.329485495,0.165177303,0.001896229,0.003812889,0.057797216,0.041727204
29,NIT,6,29,46.92058824,1217.911765,214.0829799,1.332941216,0.174740254,0.002568167,0.004857632,0.057226651,0.04187804
30,NIT,6,30,48.06969697,1234.787879,195.1626737,1.338251214,0.172017097,0.002240621,0.005137609,0.061679548,0.04215683
31,NIT,6,31,49.69090909,1228.666667,193.4185741,1.33292636,0.178764677,0.00282863,0.005703456,0.067307422,0.046959724
32,NIT,6,32,50.8,1238.078125,175.0739986,1.325867401,0.178235564,0.00304607,0.006854071,0.065292518,0.046431832
33,NIT,6,33,52.01935484,1238.548387,177.7105491,1.335683336,0.179784701,0.00313945,0.007335259,0.067607025,0.047032016
34,NIT,6,34,53.61612903,1239.403226,178.5190195,1.338022456,0.188438574,0.003063759,0.00730037,0.070726122,0.051369464
35,NIT,6,35,51.936,1254.78,161.7612747,1.324055346,0.19040111,0.000839427,0.00128838,0.060073825,0.041726919
36,NIT,6,36,53.436,1260.34,160.9214819,1.329060096,0.183163748,0.000790058,0.00110777,0.058961491,0.043157236
