,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
1,DMSO,0.2,R1,0,NRF2,Apop_cells,NA
2,DMSO,0.2,R1,0,NRF2,Live_cells,NA
3,DMSO,0.2,R1,0,NRF2,Total_cells,1
4,DMSO,0.2,R1,1,NRF2,Apop_cells,0.105480434
5,DMSO,0.2,R1,1,NRF2,Live_cells,0.894519566
6,DMSO,0.2,R1,1,NRF2,Total_cells,1
7,DMSO,0.2,R1,2,NRF2,Apop_cells,0.111566168
8,DMSO,0.2,R1,2,NRF2,Live_cells,0.863448029
9,DMSO,0.2,R1,2,NRF2,Total_cells,0.975014196
10,DMSO,0.2,R1,3,NRF2,Apop_cells,0.114918106
11,DMSO,0.2,R1,3,NRF2,Live_cells,0.869181837
12,DMSO,0.2,R1,3,NRF2,Total_cells,0.984099943
13,DMSO,0.2,R1,4,NRF2,Apop_cells,0.128404403
14,DMSO,0.2,R1,4,NRF2,Live_cells,0.852856245
15,DMSO,0.2,R1,4,NRF2,Total_cells,0.981260647
16,DMSO,0.2,R1,5,NRF2,Apop_cells,0.137896301
17,DMSO,0.2,R1,5,NRF2,Live_cells,0.851314375
18,DMSO,0.2,R1,5,NRF2,Total_cells,0.989210676
19,DMSO,0.2,R1,6,NRF2,Apop_cells,0.156224435
20,DMSO,0.2,R1,6,NRF2,Live_cells,0.861947059
21,DMSO,0.2,R1,6,NRF2,Total_cells,1.018171493
22,DMSO,0.2,R1,7,NRF2,Apop_cells,0.174486145
23,DMSO,0.2,R1,7,NRF2,Live_cells,0.872078307
24,DMSO,0.2,R1,7,NRF2,Total_cells,1.046564452
25,DMSO,0.2,R1,8,NRF2,Apop_cells,0.185480002
26,DMSO,0.2,R1,8,NRF2,Live_cells,0.886638112
27,DMSO,0.2,R1,8,NRF2,Total_cells,1.072118115
28,DMSO,0.2,R1,9,NRF2,Apop_cells,0.21706752
29,DMSO,0.2,R1,9,NRF2,Live_cells,0.898775751
30,DMSO,0.2,R1,9,NRF2,Total_cells,1.115843271
31,DMSO,0.2,R1,10,NRF2,Apop_cells,0.223663904
32,DMSO,0.2,R1,10,NRF2,Live_cells,0.912622297
33,DMSO,0.2,R1,10,NRF2,Total_cells,1.136286201
34,DMSO,0.2,R1,11,NRF2,Apop_cells,0.245184357
35,DMSO,0.2,R1,11,NRF2,Live_cells,0.922901957
36,DMSO,0.2,R1,11,NRF2,Total_cells,1.168086315
37,DMSO,0.2,R1,12,NRF2,Apop_cells,0.251806353
38,DMSO,0.2,R1,12,NRF2,Live_cells,0.956597963
39,DMSO,0.2,R1,12,NRF2,Total_cells,1.208404316
40,DMSO,0.2,R1,13,NRF2,Apop_cells,0.272293006
41,DMSO,0.2,R1,13,NRF2,Live_cells,0.982107902
42,DMSO,0.2,R1,13,NRF2,Total_cells,1.254400909
43,DMSO,0.2,R1,14,NRF2,Apop_cells,0.294453378
44,DMSO,0.2,R1,14,NRF2,Live_cells,0.989476207
45,DMSO,0.2,R1,14,NRF2,Total_cells,1.283929585
46,DMSO,0.2,R1,15,NRF2,Apop_cells,0.297970475
47,DMSO,0.2,R1,15,NRF2,Live_cells,1.001291308
48,DMSO,0.2,R1,15,NRF2,Total_cells,1.299261783
49,DMSO,0.2,R1,16,NRF2,Apop_cells,0.324738535
50,DMSO,0.2,R1,16,NRF2,Live_cells,1.0210877
51,DMSO,0.2,R1,16,NRF2,Total_cells,1.345826235
52,DMSO,0.2,R1,17,NRF2,Apop_cells,0.334898214
53,DMSO,0.2,R1,17,NRF2,Live_cells,1.046703149
54,DMSO,0.2,R1,17,NRF2,Total_cells,1.381601363
55,DMSO,0.2,R1,18,NRF2,Apop_cells,0.366320643
56,DMSO,0.2,R1,18,NRF2,Live_cells,1.073202355
57,DMSO,0.2,R1,18,NRF2,Total_cells,1.439522998
58,DMSO,0.2,R1,19,NRF2,Apop_cells,0.382502108
59,DMSO,0.2,R1,19,NRF2,Live_cells,1.097906751
60,DMSO,0.2,R1,19,NRF2,Total_cells,1.480408859
61,DMSO,0.2,R1,20,NRF2,Apop_cells,0.392593496
62,DMSO,0.2,R1,20,NRF2,Live_cells,1.113369026
63,DMSO,0.2,R1,20,NRF2,Total_cells,1.505962521
64,DMSO,0.2,R2,0,NRF2,Apop_cells,NA
65,DMSO,0.2,R2,0,NRF2,Live_cells,NA
66,DMSO,0.2,R2,0,NRF2,Total_cells,1
67,DMSO,0.2,R2,1,NRF2,Apop_cells,0.108225643
68,DMSO,0.2,R2,1,NRF2,Live_cells,0.891774357
69,DMSO,0.2,R2,1,NRF2,Total_cells,1
70,DMSO,0.2,R2,2,NRF2,Apop_cells,0.108620284
71,DMSO,0.2,R2,2,NRF2,Live_cells,0.87849035
72,DMSO,0.2,R2,2,NRF2,Total_cells,0.987110634
73,DMSO,0.2,R2,3,NRF2,Apop_cells,0.110553103
74,DMSO,0.2,R2,3,NRF2,Live_cells,0.864205221
75,DMSO,0.2,R2,3,NRF2,Total_cells,0.974758324
76,DMSO,0.2,R2,4,NRF2,Apop_cells,0.1148358
77,DMSO,0.2,R2,4,NRF2,Live_cells,0.860459581
78,DMSO,0.2,R2,4,NRF2,Total_cells,0.975295381
79,DMSO,0.2,R2,5,NRF2,Apop_cells,0.130871103
80,DMSO,0.2,R2,5,NRF2,Live_cells,0.856239531
81,DMSO,0.2,R2,5,NRF2,Total_cells,0.987110634
82,DMSO,0.2,R2,6,NRF2,Apop_cells,0.154031448
83,DMSO,0.2,R2,6,NRF2,Live_cells,0.861543203
84,DMSO,0.2,R2,6,NRF2,Total_cells,1.015574651
85,DMSO,0.2,R2,7,NRF2,Apop_cells,0.159695283
86,DMSO,0.2,R2,7,NRF2,Live_cells,0.864472279
87,DMSO,0.2,R2,7,NRF2,Total_cells,1.024167562
88,DMSO,0.2,R2,8,NRF2,Apop_cells,0.175351308
89,DMSO,0.2,R2,8,NRF2,Live_cells,0.881576726
90,DMSO,0.2,R2,8,NRF2,Total_cells,1.056928034
91,DMSO,0.2,R2,9,NRF2,Apop_cells,0.190438051
92,DMSO,0.2,R2,9,NRF2,Live_cells,0.889583431
93,DMSO,0.2,R2,9,NRF2,Total_cells,1.080021482
94,DMSO,0.2,R2,10,NRF2,Apop_cells,0.213386628
95,DMSO,0.2,R2,10,NRF2,Live_cells,0.909062352
96,DMSO,0.2,R2,10,NRF2,Total_cells,1.12244898
97,DMSO,0.2,R2,11,NRF2,Apop_cells,0.234934665
98,DMSO,0.2,R2,11,NRF2,Live_cells,0.92671947
99,DMSO,0.2,R2,11,NRF2,Total_cells,1.161654135
100,DMSO,0.2,R2,12,NRF2,Apop_cells,0.256857158
101,DMSO,0.2,R2,12,NRF2,Live_cells,0.932723937
102,DMSO,0.2,R2,12,NRF2,Total_cells,1.189581096
103,DMSO,0.2,R2,13,NRF2,Apop_cells,0.272773958
104,DMSO,0.2,R2,13,NRF2,Live_cells,0.931844731
105,DMSO,0.2,R2,13,NRF2,Total_cells,1.20461869
106,DMSO,0.2,R2,14,NRF2,Apop_cells,0.286799226
107,DMSO,0.2,R2,14,NRF2,Live_cells,0.945746424
108,DMSO,0.2,R2,14,NRF2,Total_cells,1.23254565
109,DMSO,0.2,R2,15,NRF2,Apop_cells,0.293412593
110,DMSO,0.2,R2,15,NRF2,Live_cells,0.993912864
111,DMSO,0.2,R2,15,NRF2,Total_cells,1.287325456
112,DMSO,0.2,R2,16,NRF2,Apop_cells,0.308612862
113,DMSO,0.2,R2,16,NRF2,Live_cells,0.977638481
114,DMSO,0.2,R2,16,NRF2,Total_cells,1.286251343
115,DMSO,0.2,R2,17,NRF2,Apop_cells,0.319495589
116,DMSO,0.2,R2,17,NRF2,Live_cells,1.015090877
117,DMSO,0.2,R2,17,NRF2,Total_cells,1.334586466
118,DMSO,0.2,R2,18,NRF2,Apop_cells,0.340723927
119,DMSO,0.2,R2,18,NRF2,Live_cells,1.045420004
120,DMSO,0.2,R2,18,NRF2,Total_cells,1.386143931
121,DMSO,0.2,R2,19,NRF2,Apop_cells,0.358759594
122,DMSO,0.2,R2,19,NRF2,Live_cells,1.057459525
123,DMSO,0.2,R2,19,NRF2,Total_cells,1.416219119
124,DMSO,0.2,R2,20,NRF2,Apop_cells,0.382959688
125,DMSO,0.2,R2,20,NRF2,Live_cells,1.071390473
126,DMSO,0.2,R2,20,NRF2,Total_cells,1.454350161
127,DMSO,0.2,R3,0,NRF2,Apop_cells,NA
128,DMSO,0.2,R3,0,NRF2,Live_cells,NA
129,DMSO,0.2,R3,0,NRF2,Total_cells,1
130,DMSO,0.2,R3,1,NRF2,Apop_cells,0.12145151
131,DMSO,0.2,R3,1,NRF2,Live_cells,0.87854849
132,DMSO,0.2,R3,1,NRF2,Total_cells,1
133,DMSO,0.2,R3,2,NRF2,Apop_cells,0.125298382
134,DMSO,0.2,R3,2,NRF2,Live_cells,0.884553835
135,DMSO,0.2,R3,2,NRF2,Total_cells,1.009852217
136,DMSO,0.2,R3,3,NRF2,Apop_cells,0.131471678
137,DMSO,0.2,R3,3,NRF2,Live_cells,0.88527709
138,DMSO,0.2,R3,3,NRF2,Total_cells,1.016748768
139,DMSO,0.2,R3,4,NRF2,Apop_cells,0.128676683
140,DMSO,0.2,R3,4,NRF2,Live_cells,0.865411987
141,DMSO,0.2,R3,4,NRF2,Total_cells,0.99408867
142,DMSO,0.2,R3,5,NRF2,Apop_cells,0.137955029
143,DMSO,0.2,R3,5,NRF2,Live_cells,0.877315907
144,DMSO,0.2,R3,5,NRF2,Total_cells,1.015270936
145,DMSO,0.2,R3,6,NRF2,Apop_cells,0.159939353
146,DMSO,0.2,R3,6,NRF2,Live_cells,0.86567641
147,DMSO,0.2,R3,6,NRF2,Total_cells,1.025615764
148,DMSO,0.2,R3,7,NRF2,Apop_cells,0.174712212
149,DMSO,0.2,R3,7,NRF2,Live_cells,0.883415867
150,DMSO,0.2,R3,7,NRF2,Total_cells,1.058128079
151,DMSO,0.2,R3,8,NRF2,Apop_cells,0.185248653
152,DMSO,0.2,R3,8,NRF2,Live_cells,0.887657751
153,DMSO,0.2,R3,8,NRF2,Total_cells,1.072906404
154,DMSO,0.2,R3,9,NRF2,Apop_cells,0.205865911
155,DMSO,0.2,R3,9,NRF2,Live_cells,0.908419804
156,DMSO,0.2,R3,9,NRF2,Total_cells,1.114285714
157,DMSO,0.2,R3,10,NRF2,Apop_cells,0.227584598
158,DMSO,0.2,R3,10,NRF2,Live_cells,0.941380919
159,DMSO,0.2,R3,10,NRF2,Total_cells,1.168965517
160,DMSO,0.2,R3,11,NRF2,Apop_cells,0.241932576
161,DMSO,0.2,R3,11,NRF2,Live_cells,0.929495995
162,DMSO,0.2,R3,11,NRF2,Total_cells,1.171428571
163,DMSO,0.2,R3,12,NRF2,Apop_cells,0.260376016
164,DMSO,0.2,R3,12,NRF2,Live_cells,0.967210191
165,DMSO,0.2,R3,12,NRF2,Total_cells,1.227586207
166,DMSO,0.2,R3,13,NRF2,Apop_cells,0.279680502
167,DMSO,0.2,R3,13,NRF2,Live_cells,0.954309646
168,DMSO,0.2,R3,13,NRF2,Total_cells,1.233990148
169,DMSO,0.2,R3,14,NRF2,Apop_cells,0.296322914
170,DMSO,0.2,R3,14,NRF2,Live_cells,0.979046544
171,DMSO,0.2,R3,14,NRF2,Total_cells,1.275369458
172,DMSO,0.2,R3,15,NRF2,Apop_cells,0.313199678
173,DMSO,0.2,R3,15,NRF2,Live_cells,1.000100815
174,DMSO,0.2,R3,15,NRF2,Total_cells,1.313300493
175,DMSO,0.2,R3,16,NRF2,Apop_cells,0.321994567
176,DMSO,0.2,R3,16,NRF2,Live_cells,1.014458635
177,DMSO,0.2,R3,16,NRF2,Total_cells,1.336453202
178,DMSO,0.2,R3,17,NRF2,Apop_cells,0.347816814
179,DMSO,0.2,R3,17,NRF2,Live_cells,1.017207816
