"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","DIC",50,"cliver",0
"2",0.1,"Simu1","DIC",50,"cliver",0.253058548247832
"3",0.2,"Simu1","DIC",50,"cliver",1.65813095100695
"4",0.3,"Simu1","DIC",50,"cliver",3.52366207328518
"5",0.4,"Simu1","DIC",50,"cliver",5.4218843764801
"6",0.5,"Simu1","DIC",50,"cliver",7.20435307810275
"7",0.6,"Simu1","DIC",50,"cliver",8.8254998934149
"8",0.7,"Simu1","DIC",50,"cliver",10.2770356224213
"9",0.8,"Simu1","DIC",50,"cliver",11.5638235875193
"10",0.9,"Simu1","DIC",50,"cliver",12.6950366090441
"11",1,"Simu1","DIC",50,"cliver",13.6809413246452
"12",1.1,"Simu1","DIC",50,"cliver",14.5317433855079
"13",1.2,"Simu1","DIC",50,"cliver",15.2571859912085
"14",1.3,"Simu1","DIC",50,"cliver",15.8664473240876
"15",1.4,"Simu1","DIC",50,"cliver",16.3681266458304
"16",1.5,"Simu1","DIC",50,"cliver",16.7702369438809
"17",1.6,"Simu1","DIC",50,"cliver",17.0802675713681
"18",1.7,"Simu1","DIC",50,"cliver",17.3052092224417
"19",1.8,"Simu1","DIC",50,"cliver",17.4515605263834
"20",1.9,"Simu1","DIC",50,"cliver",17.5253695751331
"21",2,"Simu1","DIC",50,"cliver",17.5322845308786
"22",2.1,"Simu1","DIC",50,"cliver",17.4775636592353
"23",2.2,"Simu1","DIC",50,"cliver",17.3660990859636
"24",2.3,"Simu1","DIC",50,"cliver",17.2024452227933
"25",2.4,"Simu1","DIC",50,"cliver",16.9908400392359
"26",2.5,"Simu1","DIC",50,"cliver",16.7352256462771
"27",2.6,"Simu1","DIC",50,"cliver",16.4392712017383
"28",2.7,"Simu1","DIC",50,"cliver",16.1063890272766
"29",2.8,"Simu1","DIC",50,"cliver",15.7397490322102
"30",2.9,"Simu1","DIC",50,"cliver",15.3422952903812
"31",3,"Simu1","DIC",50,"cliver",14.9167628313275
"32",3.1,"Simu1","DIC",50,"cliver",14.4656921679601
"33",3.2,"Simu1","DIC",50,"cliver",13.9914416888452
"34",3.3,"Simu1","DIC",50,"cliver",13.4961993365406
"35",3.4,"Simu1","DIC",50,"cliver",12.9819941832531
"36",3.5,"Simu1","DIC",50,"cliver",12.4507074983269
"37",3.6,"Simu1","DIC",50,"cliver",11.9040828757248
"38",3.7,"Simu1","DIC",50,"cliver",11.3437354935527
"39",3.8,"Simu1","DIC",50,"cliver",10.7711608044626
"40",3.9,"Simu1","DIC",50,"cliver",10.1877427956979
