"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","DIC",50,"cliver",0
"2",0.1,"Simu1","DIC",50,"cliver",0.210457207428875
"3",0.2,"Simu1","DIC",50,"cliver",1.41635735149005
"4",0.3,"Simu1","DIC",50,"cliver",2.9848847018299
"5",0.4,"Simu1","DIC",50,"cliver",4.51950698453454
"6",0.5,"Simu1","DIC",50,"cliver",5.89032193725516
"7",0.6,"Simu1","DIC",50,"cliver",7.06480392154801
"8",0.7,"Simu1","DIC",50,"cliver",8.0448194219824
"9",0.8,"Simu1","DIC",50,"cliver",8.84355367875849
"10",0.9,"Simu1","DIC",50,"cliver",9.47714585863058
"11",1,"Simu1","DIC",50,"cliver",9.9617270927948
"12",1.1,"Simu1","DIC",50,"cliver",10.3124342045971
"13",1.2,"Simu1","DIC",50,"cliver",10.5431417377586
"14",1.3,"Simu1","DIC",50,"cliver",10.6664488293886
"15",1.4,"Simu1","DIC",50,"cliver",10.6937516383744
"16",1.5,"Simu1","DIC",50,"cliver",10.6353399605922
"17",1.6,"Simu1","DIC",50,"cliver",10.5004964059439
"18",1.7,"Simu1","DIC",50,"cliver",10.2975902422119
"19",1.8,"Simu1","DIC",50,"cliver",10.0341638091837
"20",1.9,"Simu1","DIC",50,"cliver",9.71701201414806
"21",2,"Simu1","DIC",50,"cliver",9.35225379661326
"22",2.1,"Simu1","DIC",50,"cliver",8.94539716655372
"23",2.2,"Simu1","DIC",50,"cliver",8.50139788287577
"24",2.3,"Simu1","DIC",50,"cliver",8.02471354098225
"25",2.4,"Simu1","DIC",50,"cliver",7.51935217079106
"26",2.5,"Simu1","DIC",50,"cliver",6.98891580722447
"27",2.6,"Simu1","DIC",50,"cliver",6.43664021317396
"28",2.7,"Simu1","DIC",50,"cliver",5.86543138084287
"29",2.8,"Simu1","DIC",50,"cliver",5.27789900362361
"30",2.9,"Simu1","DIC",50,"cliver",4.67638733338267
"31",3,"Simu1","DIC",50,"cliver",4.06300426405014
"32",3.1,"Simu1","DIC",50,"cliver",3.43965025230921
"33",3.2,"Simu1","DIC",50,"cliver",2.80805035005345
"34",3.3,"Simu1","DIC",50,"cliver",2.16979843498294
"35",3.4,"Simu1","DIC",50,"cliver",1.52643263205384
"36",3.5,"Simu1","DIC",50,"cliver",0.879731600402822
"37",3.6,"Simu1","DIC",50,"cliver",0.233972462862595
"38",3.7,"Simu1","DIC",50,"cliver",0.000851010343833612
"39",3.8,"Simu1","DIC",50,"cliver",0.000773619068935906
"40",3.9,"Simu1","DIC",50,"cliver",0.000704734068632519
