"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","DIC",50,"cliver",0
"2",0.1,"Simu1","DIC",50,"cliver",0.131544143922356
"3",0.2,"Simu1","DIC",50,"cliver",1.00248210734385
"4",0.3,"Simu1","DIC",50,"cliver",2.17215501761975
"5",0.4,"Simu1","DIC",50,"cliver",3.31484593483407
"6",0.5,"Simu1","DIC",50,"cliver",4.32317716772331
"7",0.6,"Simu1","DIC",50,"cliver",5.17024099431819
"8",0.7,"Simu1","DIC",50,"cliver",5.8575769057609
"9",0.8,"Simu1","DIC",50,"cliver",6.39608722808588
"10",0.9,"Simu1","DIC",50,"cliver",6.79911563991496
"11",1,"Simu1","DIC",50,"cliver",7.07999583430872
"12",1.1,"Simu1","DIC",50,"cliver",7.25123826239427
"13",1.2,"Simu1","DIC",50,"cliver",7.32430750732027
"14",1.3,"Simu1","DIC",50,"cliver",7.30961163554885
"15",1.4,"Simu1","DIC",50,"cliver",7.21656221511348
"16",1.5,"Simu1","DIC",50,"cliver",7.0536559261033
"17",1.6,"Simu1","DIC",50,"cliver",6.82855581150229
"18",1.7,"Simu1","DIC",50,"cliver",6.5481702443964
"19",1.8,"Simu1","DIC",50,"cliver",6.21872432944686
"20",1.9,"Simu1","DIC",50,"cliver",5.84582426522394
"21",2,"Simu1","DIC",50,"cliver",5.43451814218004
"22",2.1,"Simu1","DIC",50,"cliver",4.98935231249458
"23",2.2,"Simu1","DIC",50,"cliver",4.51441775142212
"24",2.3,"Simu1","DIC",50,"cliver",4.01340337006342
"25",2.4,"Simu1","DIC",50,"cliver",3.48963372874548
"26",2.5,"Simu1","DIC",50,"cliver",2.94610931333571
"27",2.6,"Simu1","DIC",50,"cliver",2.38555712453655
"28",2.7,"Simu1","DIC",50,"cliver",1.81049547098757
"29",2.8,"Simu1","DIC",50,"cliver",1.22335770487984
"30",2.9,"Simu1","DIC",50,"cliver",0.627018215919625
"31",3,"Simu1","DIC",50,"cliver",0.0350161069470546
"32",3.1,"Simu1","DIC",50,"cliver",0.00115367240796491
"33",3.2,"Simu1","DIC",50,"cliver",0.0010322044532396
"34",3.3,"Simu1","DIC",50,"cliver",0.000926032182517208
"35",3.4,"Simu1","DIC",50,"cliver",0.000832805729446886
"36",3.5,"Simu1","DIC",50,"cliver",0.000750663157616582
"37",3.6,"Simu1","DIC",50,"cliver",0.000677978651732142
