"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","DIC",1,"cliver",0
"2",0.1,"Simu1","DIC",1,"cliver",0.456183126487456
"3",0.2,"Simu1","DIC",1,"cliver",1.3032007923877
"4",0.3,"Simu1","DIC",1,"cliver",1.77399714220128
"5",0.4,"Simu1","DIC",1,"cliver",1.90857809474812
"6",0.5,"Simu1","DIC",1,"cliver",1.85456720901155
"7",0.6,"Simu1","DIC",1,"cliver",1.71684858956126
"8",0.7,"Simu1","DIC",1,"cliver",1.55264831737463
"9",0.8,"Simu1","DIC",1,"cliver",1.38885476918107
"10",0.9,"Simu1","DIC",1,"cliver",1.23636805483745
"11",1,"Simu1","DIC",1,"cliver",1.09855678779786
"12",1.1,"Simu1","DIC",1,"cliver",0.975614549653727
"13",1.2,"Simu1","DIC",1,"cliver",0.866494929327661
"14",1.3,"Simu1","DIC",1,"cliver",0.769809676828776
"15",1.4,"Simu1","DIC",1,"cliver",0.68418393912388
"16",1.5,"Simu1","DIC",1,"cliver",0.608326068643622
"17",1.6,"Simu1","DIC",1,"cliver",0.541073905258682
"18",1.7,"Simu1","DIC",1,"cliver",0.481413874036736
"19",1.8,"Simu1","DIC",1,"cliver",0.428466103461577
"20",1.9,"Simu1","DIC",1,"cliver",0.38145255580017
"21",2,"Simu1","DIC",1,"cliver",0.339683596687906
"22",2.1,"Simu1","DIC",1,"cliver",0.302555350913276
"23",2.2,"Simu1","DIC",1,"cliver",0.269541313372892
"24",2.3,"Simu1","DIC",1,"cliver",0.240177725610548
"25",2.4,"Simu1","DIC",1,"cliver",0.214052461411272
"26",2.5,"Simu1","DIC",1,"cliver",0.19080041210043
"27",2.6,"Simu1","DIC",1,"cliver",0.170100170597731
"28",2.7,"Simu1","DIC",1,"cliver",0.151668370555526
"29",2.8,"Simu1","DIC",1,"cliver",0.135253489937083
"30",2.9,"Simu1","DIC",1,"cliver",0.120631747026535
"31",3,"Simu1","DIC",1,"cliver",0.107604710036649
"32",3.1,"Simu1","DIC",1,"cliver",0.0959968015829286
"33",3.2,"Simu1","DIC",1,"cliver",0.0856522553585038
"34",3.3,"Simu1","DIC",1,"cliver",0.0764324165985864
"35",3.4,"Simu1","DIC",1,"cliver",0.0682138843960725
"36",3.5,"Simu1","DIC",1,"cliver",0.0608870611098441
"37",3.6,"Simu1","DIC",1,"cliver",0.0543546180613071
"38",3.7,"Simu1","DIC",1,"cliver",0.048529945340929
