"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","KET",200,"cliver",0
"2",0.1,"Simu1","KET",200,"cliver",3.89176763064443
"3",0.2,"Simu1","KET",200,"cliver",15.2030020298286
"4",0.3,"Simu1","KET",200,"cliver",27.8400145337106
"5",0.4,"Simu1","KET",200,"cliver",39.4659390291492
"6",0.5,"Simu1","KET",200,"cliver",49.4464363375335
"7",0.6,"Simu1","KET",200,"cliver",57.727684492406
"8",0.7,"Simu1","KET",200,"cliver",64.4404903545698
"9",0.8,"Simu1","KET",200,"cliver",69.7624057110443
"10",0.9,"Simu1","KET",200,"cliver",73.8712047367851
"11",1,"Simu1","KET",200,"cliver",76.9304696716428
"12",1.1,"Simu1","KET",200,"cliver",79.0863134642263
"13",1.2,"Simu1","KET",200,"cliver",80.4677511503936
"14",1.3,"Simu1","KET",200,"cliver",81.188174510326
"15",1.4,"Simu1","KET",200,"cliver",81.3470742202667
"16",1.5,"Simu1","KET",200,"cliver",81.0315344775191
"17",1.6,"Simu1","KET",200,"cliver",80.3178251245281
"18",1.7,"Simu1","KET",200,"cliver",79.2725169069374
"19",1.8,"Simu1","KET",200,"cliver",77.9537346443002
"20",1.9,"Simu1","KET",200,"cliver",76.4122640250317
"21",2,"Simu1","KET",200,"cliver",74.6921151967619
"22",2.1,"Simu1","KET",200,"cliver",72.8313242193294
"23",2.2,"Simu1","KET",200,"cliver",70.8629944242573
"24",2.3,"Simu1","KET",200,"cliver",68.8156342872433
"25",2.4,"Simu1","KET",200,"cliver",66.7137129791952
"26",2.5,"Simu1","KET",200,"cliver",64.5781768314803
"27",2.6,"Simu1","KET",200,"cliver",62.42685280182
"28",2.7,"Simu1","KET",200,"cliver",60.2748731678782
"29",2.8,"Simu1","KET",200,"cliver",58.1349907910205
"30",2.9,"Simu1","KET",200,"cliver",56.0178290303917
"31",3,"Simu1","KET",200,"cliver",53.9321685074714
"32",3.1,"Simu1","KET",200,"cliver",51.8852049647863
"33",3.2,"Simu1","KET",200,"cliver",49.8827531891955
"34",3.3,"Simu1","KET",200,"cliver",47.9294200978485
"35",3.4,"Simu1","KET",200,"cliver",46.0287635592494
"36",3.5,"Simu1","KET",200,"cliver",44.1834402103698
"37",3.6,"Simu1","KET",200,"cliver",42.3953361438738
"38",3.7,"Simu1","KET",200,"cliver",40.6656783927026
"39",3.8,"Simu1","KET",200,"cliver",38.9951312446082
"40",3.9,"Simu1","KET",200,"cliver",37.3838819240674
"41",4,"Simu1","KET",200,"cliver",35.8317171051708
"42",4.1,"Simu1","KET",200,"cliver",34.33808992834
"43",4.2,"Simu1","KET",200,"cliver",32.9021778242214
"44",4.3,"Simu1","KET",200,"cliver",31.5229325231383
