"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","KET",200,"cliver",0
"2",0.1,"Simu1","KET",200,"cliver",3.57754095678181
"3",0.2,"Simu1","KET",200,"cliver",13.7451344545978
"4",0.3,"Simu1","KET",200,"cliver",24.7166700215182
"5",0.4,"Simu1","KET",200,"cliver",34.3790739584008
"6",0.5,"Simu1","KET",200,"cliver",42.2464234794259
"7",0.6,"Simu1","KET",200,"cliver",48.3700543279486
"8",0.7,"Simu1","KET",200,"cliver",52.9572510292428
"9",0.8,"Simu1","KET",200,"cliver",56.2411124556736
"10",0.9,"Simu1","KET",200,"cliver",58.4388825510078
"11",1,"Simu1","KET",200,"cliver",59.7410072715872
"12",1.1,"Simu1","KET",200,"cliver",60.3105235915939
"13",1.2,"Simu1","KET",200,"cliver",60.2855399766224
"14",1.3,"Simu1","KET",200,"cliver",59.7824520153606
"15",1.4,"Simu1","KET",200,"cliver",58.8990376921478
"16",1.5,"Simu1","KET",200,"cliver",57.717208062347
"17",1.6,"Simu1","KET",200,"cliver",56.3053938412458
"18",1.7,"Simu1","KET",200,"cliver",54.7205836715884
"19",1.8,"Simu1","KET",200,"cliver",53.0100759142306
"20",1.9,"Simu1","KET",200,"cliver",51.2129621660183
"21",2,"Simu1","KET",200,"cliver",49.3613859296189
"22",2.1,"Simu1","KET",200,"cliver",47.4816305740877
"23",2.2,"Simu1","KET",200,"cliver",45.5950367168588
"24",2.3,"Simu1","KET",200,"cliver",43.7187824124598
"25",2.4,"Simu1","KET",200,"cliver",41.8665527486888
"26",2.5,"Simu1","KET",200,"cliver",40.0491114056532
"27",2.6,"Simu1","KET",200,"cliver",38.2747762879229
"28",2.7,"Simu1","KET",200,"cliver",36.5498294906387
"29",2.8,"Simu1","KET",200,"cliver",34.8788657290421
"30",2.9,"Simu1","KET",200,"cliver",33.2650878744159
"31",3,"Simu1","KET",200,"cliver",31.7105545408225
"32",3.1,"Simu1","KET",200,"cliver",30.2163897367236
"33",3.2,"Simu1","KET",200,"cliver",28.7829608414465
"34",3.3,"Simu1","KET",200,"cliver",27.4100266783188
"35",3.4,"Simu1","KET",200,"cliver",26.0968623060532
"36",3.5,"Simu1","KET",200,"cliver",24.8423628797028
"37",3.6,"Simu1","KET",200,"cliver",23.6451311110695
"38",3.7,"Simu1","KET",200,"cliver",22.503549839152
"39",3.8,"Simu1","KET",200,"cliver",21.415841288724
"40",3.9,"Simu1","KET",200,"cliver",20.3801157222717
"41",4,"Simu1","KET",200,"cliver",19.3944118763072
"42",4.1,"Simu1","KET",200,"cliver",18.4567300247291
"43",4.2,"Simu1","KET",200,"cliver",17.5650584181647
"44",4.3,"Simu1","KET",200,"cliver",16.717394296241
"45",4.4,"Simu1","KET",200,"cliver",15.9117605658487
