"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","KET",200,"cliver",0
"2",0.1,"Simu1","KET",200,"cliver",3.18004323082544
"3",0.2,"Simu1","KET",200,"cliver",12.1906618129256
"4",0.3,"Simu1","KET",200,"cliver",21.8664162862342
"5",0.4,"Simu1","KET",200,"cliver",30.3303370379398
"6",0.5,"Simu1","KET",200,"cliver",37.1566152724592
"7",0.6,"Simu1","KET",200,"cliver",42.3967333276103
"8",0.7,"Simu1","KET",200,"cliver",46.2400140282708
"9",0.8,"Simu1","KET",200,"cliver",48.898312710785
"10",0.9,"Simu1","KET",200,"cliver",50.5693091530471
"11",1,"Simu1","KET",200,"cliver",51.4269309927889
"12",1.1,"Simu1","KET",200,"cliver",51.6207974949981
"13",1.2,"Simu1","KET",200,"cliver",51.2783827299423
"14",1.3,"Simu1","KET",200,"cliver",50.5077594494297
"15",1.4,"Simu1","KET",200,"cliver",49.4002398399958
"16",1.5,"Simu1","KET",200,"cliver",48.0327281920932
"17",1.6,"Simu1","KET",200,"cliver",46.4697657640036
"18",1.7,"Simu1","KET",200,"cliver",44.7652910544875
"19",1.8,"Simu1","KET",200,"cliver",42.9641615825358
"20",1.9,"Simu1","KET",200,"cliver",41.1034617050571
"21",2,"Simu1","KET",200,"cliver",39.2136288372282
"22",2.1,"Simu1","KET",200,"cliver",37.3194339952064
"23",2.2,"Simu1","KET",200,"cliver",35.4408348032052
"24",2.3,"Simu1","KET",200,"cliver",33.5936994985525
"25",2.4,"Simu1","KET",200,"cliver",31.7904332666999
"26",2.5,"Simu1","KET",200,"cliver",30.040529161698
"27",2.6,"Simu1","KET",200,"cliver",28.3510391272696
"28",2.7,"Simu1","KET",200,"cliver",26.7269847834421
"29",2.8,"Simu1","KET",200,"cliver",25.1717018358668
"30",2.9,"Simu1","KET",200,"cliver",23.6871334836057
"31",3,"Simu1","KET",200,"cliver",22.274088502741
"32",3.1,"Simu1","KET",200,"cliver",20.9324602131503
"33",3.2,"Simu1","KET",200,"cliver",19.6614110064658
"34",3.3,"Simu1","KET",200,"cliver",18.4595271141108
"35",3.4,"Simu1","KET",200,"cliver",17.3249494602506
"36",3.5,"Simu1","KET",200,"cliver",16.2554840844677
"37",3.6,"Simu1","KET",200,"cliver",15.2486942258606
"38",3.7,"Simu1","KET",200,"cliver",14.3019761636626
