"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","KET",10,"cliver",0
"2",0.1,"Simu1","KET",10,"cliver",1.22251252879698
"3",0.2,"Simu1","KET",10,"cliver",4.83836702645472
"4",0.3,"Simu1","KET",10,"cliver",8.99704916242635
"5",0.4,"Simu1","KET",10,"cliver",12.9723455051571
"6",0.5,"Simu1","KET",10,"cliver",16.5509372502475
"7",0.6,"Simu1","KET",10,"cliver",19.695420631599
"8",0.7,"Simu1","KET",10,"cliver",22.4258809615072
"9",0.8,"Simu1","KET",10,"cliver",24.7787352471085
"10",0.9,"Simu1","KET",10,"cliver",26.7927285230537
"11",1,"Simu1","KET",10,"cliver",28.5044444131658
"12",1.1,"Simu1","KET",10,"cliver",29.9471162640255
"13",1.2,"Simu1","KET",10,"cliver",31.1505258739551
"14",1.3,"Simu1","KET",10,"cliver",32.1412573826187
"15",1.4,"Simu1","KET",10,"cliver",32.9430155557068
"16",1.5,"Simu1","KET",10,"cliver",33.5769507252319
"17",1.6,"Simu1","KET",10,"cliver",34.0619488474517
"18",1.7,"Simu1","KET",10,"cliver",34.4148844868392
"19",1.8,"Simu1","KET",10,"cliver",34.6508495178039
"20",1.9,"Simu1","KET",10,"cliver",34.7833525310597
"21",2,"Simu1","KET",10,"cliver",34.8244891516416
"22",2.1,"Simu1","KET",10,"cliver",34.7850918250608
"23",2.2,"Simu1","KET",10,"cliver",34.6748646704286
"24",2.3,"Simu1","KET",10,"cliver",34.5025038313861
"25",2.4,"Simu1","KET",10,"cliver",34.2758029348854
"26",2.5,"Simu1","KET",10,"cliver",34.0017456159688
"27",2.6,"Simu1","KET",10,"cliver",33.6865881109645
"28",2.7,"Simu1","KET",10,"cliver",33.3359336506869
"29",2.8,"Simu1","KET",10,"cliver",32.9547990475538
"30",2.9,"Simu1","KET",10,"cliver",32.5476738969458
"31",3,"Simu1","KET",10,"cliver",32.118573409301
"32",3.1,"Simu1","KET",10,"cliver",31.6710859335645
"33",3.2,"Simu1","KET",10,"cliver",31.2084157844032
"34",3.3,"Simu1","KET",10,"cliver",30.7334217044637
"35",3.4,"Simu1","KET",10,"cliver",30.2486513615257
"36",3.5,"Simu1","KET",10,"cliver",29.7563723809597
"37",3.6,"Simu1","KET",10,"cliver",29.2586003396747
"38",3.7,"Simu1","KET",10,"cliver",28.7571240124059
"39",3.8,"Simu1","KET",10,"cliver",28.2535281067712
"40",3.9,"Simu1","KET",10,"cliver",27.7492137455878
"41",4,"Simu1","KET",10,"cliver",27.2454169513985
"42",4.1,"Simu1","KET",10,"cliver",26.7432253307121
"43",4.2,"Simu1","KET",10,"cliver",26.2435931260968
"44",4.3,"Simu1","KET",10,"cliver",25.7473547923659
"45",4.4,"Simu1","KET",10,"cliver",25.2552372472183
"46",4.5,"Simu1","KET",10,"cliver",24.7678709294423
"47",4.6,"Simu1","KET",10,"cliver",24.2857997781557
"48",4.7,"Simu1","KET",10,"cliver",23.809490234841
"49",4.8,"Simu1","KET",10,"cliver",23.3393393633657
"50",4.9,"Simu1","KET",10,"cliver",22.8756821748443
"51",5,"Simu1","KET",10,"cliver",22.4187982338904
"52",5.1,"Simu1","KET",10,"cliver",21.9689176143351
"53",5.2,"Simu1","KET",10,"cliver",21.5262262667461
"54",5.3,"Simu1","KET",10,"cliver",21.0908708548853
