"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","NIT",50,"cliver",0
"2",0.1,"Simu1","NIT",50,"cliver",0.296268985007203
"3",0.2,"Simu1","NIT",50,"cliver",0.443708141572276
"4",0.3,"Simu1","NIT",50,"cliver",0.497054070948205
"5",0.4,"Simu1","NIT",50,"cliver",0.526275372032715
"6",0.5,"Simu1","NIT",50,"cliver",0.545765316223842
"7",0.6,"Simu1","NIT",50,"cliver",0.559280213570443
"8",0.7,"Simu1","NIT",50,"cliver",0.568190357956768
"9",0.8,"Simu1","NIT",50,"cliver",0.573270170258418
"10",0.9,"Simu1","NIT",50,"cliver",0.57509728373908
"11",1,"Simu1","NIT",50,"cliver",0.574150815349732
"12",1.1,"Simu1","NIT",50,"cliver",0.570840820584315
"13",1.2,"Simu1","NIT",50,"cliver",0.565521434789267
"14",1.3,"Simu1","NIT",50,"cliver",0.55849970951604
"15",1.4,"Simu1","NIT",50,"cliver",0.550041849818848
"16",1.5,"Simu1","NIT",50,"cliver",0.540379416289343
"17",1.6,"Simu1","NIT",50,"cliver",0.529714053438783
"18",1.7,"Simu1","NIT",50,"cliver",0.518221433199223
"19",1.8,"Simu1","NIT",50,"cliver",0.506054829102496
"20",1.9,"Simu1","NIT",50,"cliver",0.493348171764394
"21",2,"Simu1","NIT",50,"cliver",0.480218575158457
"22",2.1,"Simu1","NIT",50,"cliver",0.466768483020055
"23",2.2,"Simu1","NIT",50,"cliver",0.4530875607301
"24",2.3,"Simu1","NIT",50,"cliver",0.439254333351029
"25",2.4,"Simu1","NIT",50,"cliver",0.425337584128591
"26",2.5,"Simu1","NIT",50,"cliver",0.411397564039216
"27",2.6,"Simu1","NIT",50,"cliver",0.397487022510573
"28",2.7,"Simu1","NIT",50,"cliver",0.383652106348339
"29",2.8,"Simu1","NIT",50,"cliver",0.369933145791442
"30",2.9,"Simu1","NIT",50,"cliver",0.356365341036972
"31",3,"Simu1","NIT",50,"cliver",0.342979356026942
"32",3.1,"Simu1","NIT",50,"cliver",0.329801835397746
"33",3.2,"Simu1","NIT",50,"cliver",0.316855854530681
"34",3.3,"Simu1","NIT",50,"cliver",0.304161316870242
"35",3.4,"Simu1","NIT",50,"cliver",0.29173529881561
"36",3.5,"Simu1","NIT",50,"cliver",0.279592355244028
"37",3.6,"Simu1","NIT",50,"cliver",0.267744777973384
"38",3.7,"Simu1","NIT",50,"cliver",0.256202835273892
"39",3.8,"Simu1","NIT",50,"cliver",0.24497496568741
"40",3.9,"Simu1","NIT",50,"cliver",0.234067936301487
"41",4,"Simu1","NIT",50,"cliver",0.223487016857092
"42",4.1,"Simu1","NIT",50,"cliver",0.2132361230835
"43",4.2,"Simu1","NIT",50,"cliver",0.203317896780249
"44",4.3,"Simu1","NIT",50,"cliver",0.193733798600207
"45",4.4,"Simu1","NIT",50,"cliver",0.184484207226168
"46",4.5,"Simu1","NIT",50,"cliver",0.175568505662227
"47",4.6,"Simu1","NIT",50,"cliver",0.166985112886983
"48",4.7,"Simu1","NIT",50,"cliver",0.158731561084924
"49",4.8,"Simu1","NIT",50,"cliver",0.150804508957864
"50",4.9,"Simu1","NIT",50,"cliver",0.143199887984286
"51",5,"Simu1","NIT",50,"cliver",0.135912744174666
"52",5.1,"Simu1","NIT",50,"cliver",0.128937499552974
"53",5.2,"Simu1","NIT",50,"cliver",0.122268139836233
"54",5.3,"Simu1","NIT",50,"cliver",0.115897897964574
"55",5.4,"Simu1","NIT",50,"cliver",0.109819257822724
"56",5.5,"Simu1","NIT",50,"cliver",0.104024292802314
"57",5.6,"Simu1","NIT",50,"cliver",0.0985050581251225
"58",5.7,"Simu1","NIT",50,"cliver",0.0932529816490831
"59",5.8,"Simu1","NIT",50,"cliver",0.0882589067420324
"60",5.9,"Simu1","NIT",50,"cliver",0.0835138413082412
"61",6,"Simu1","NIT",50,"cliver",0.0802650425553521
"62",6.1,"Simu1","NIT",50,"cliver",0.401970387559129
"63",6.2,"Simu1","NIT",50,"cliver",0.558706214070812
"64",6.3,"Simu1","NIT",50,"cliver",0.615861116844032
"65",6.4,"Simu1","NIT",50,"cliver",0.646564902245466
"66",6.5,"Simu1","NIT",50,"cliver",0.666473885592337
"67",6.6,"Simu1","NIT",50,"cliver",0.679762185936727
"68",6.7,"Simu1","NIT",50,"cliver",0.687967315386789
"69",6.8,"Simu1","NIT",50,"cliver",0.691953217171583
"70",6.9,"Simu1","NIT",50,"cliver",0.692363650236074
"71",7,"Simu1","NIT",50,"cliver",0.689730997128204
"72",7.1,"Simu1","NIT",50,"cliver",0.684510450905169
"73",7.2,"Simu1","NIT",50,"cliver",0.677094936220948
"74",7.3,"Simu1","NIT",50,"cliver",0.667825045860962
"75",7.4,"Simu1","NIT",50,"cliver",0.656996480837906
"76",7.5,"Simu1","NIT",50,"cliver",0.64486593110094
