"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","NIT",50,"cliver",0
"2",0.1,"Simu1","NIT",50,"cliver",0.228212141448338
"3",0.2,"Simu1","NIT",50,"cliver",0.315091412521393
"4",0.3,"Simu1","NIT",50,"cliver",0.342531644461118
"5",0.4,"Simu1","NIT",50,"cliver",0.358499595943682
"6",0.5,"Simu1","NIT",50,"cliver",0.369769091144675
"7",0.6,"Simu1","NIT",50,"cliver",0.377675997793985
"8",0.7,"Simu1","NIT",50,"cliver",0.38275057615036
"9",0.8,"Simu1","NIT",50,"cliver",0.385370689032516
"10",0.9,"Simu1","NIT",50,"cliver",0.38585581196685
"11",1,"Simu1","NIT",50,"cliver",0.384486746763163
"12",1.1,"Simu1","NIT",50,"cliver",0.381512185845438
"13",1.2,"Simu1","NIT",50,"cliver",0.377152860080307
"14",1.3,"Simu1","NIT",50,"cliver",0.371605327774711
"15",1.4,"Simu1","NIT",50,"cliver",0.365044964355854
"16",1.5,"Simu1","NIT",50,"cliver",0.357628280090036
"17",1.6,"Simu1","NIT",50,"cliver",0.349495114363379
"18",1.7,"Simu1","NIT",50,"cliver",0.340770443472433
"19",1.8,"Simu1","NIT",50,"cliver",0.331565935653413
"20",1.9,"Simu1","NIT",50,"cliver",0.321981294960867
"21",2,"Simu1","NIT",50,"cliver",0.312105464961411
"22",2.1,"Simu1","NIT",50,"cliver",0.302017686162417
"23",2.2,"Simu1","NIT",50,"cliver",0.291788448716398
"24",2.3,"Simu1","NIT",50,"cliver",0.281480330575109
"25",2.4,"Simu1","NIT",50,"cliver",0.271148741144336
"26",2.5,"Simu1","NIT",50,"cliver",0.260842598206511
"27",2.6,"Simu1","NIT",50,"cliver",0.250604939837573
"28",2.7,"Simu1","NIT",50,"cliver",0.240473484388228
"29",2.8,"Simu1","NIT",50,"cliver",0.230481122786231
"30",2.9,"Simu1","NIT",50,"cliver",0.220656399507817
"31",3,"Simu1","NIT",50,"cliver",0.21102384011707
"32",3.1,"Simu1","NIT",50,"cliver",0.201604379541166
"33",3.2,"Simu1","NIT",50,"cliver",0.19241576654338
"34",3.3,"Simu1","NIT",50,"cliver",0.183472781434307
"35",3.4,"Simu1","NIT",50,"cliver",0.174787404632919
"36",3.5,"Simu1","NIT",50,"cliver",0.166369264793524
"37",3.6,"Simu1","NIT",50,"cliver",0.158225873233579
"38",3.7,"Simu1","NIT",50,"cliver",0.150362571946981
"39",3.8,"Simu1","NIT",50,"cliver",0.142782882758151
"40",3.9,"Simu1","NIT",50,"cliver",0.135488816346549
"41",4,"Simu1","NIT",50,"cliver",0.128480807845041
"42",4.1,"Simu1","NIT",50,"cliver",0.12175784792233
"43",4.2,"Simu1","NIT",50,"cliver",0.115317774473952
"44",4.3,"Simu1","NIT",50,"cliver",0.109157376084418
"45",4.4,"Simu1","NIT",50,"cliver",0.103272398003438
"46",4.5,"Simu1","NIT",50,"cliver",0.0976576944928108
"47",4.6,"Simu1","NIT",50,"cliver",0.0923073802415225
"48",4.7,"Simu1","NIT",50,"cliver",0.0872149412837486
"49",4.8,"Simu1","NIT",50,"cliver",0.0823732569277314
"50",4.9,"Simu1","NIT",50,"cliver",0.0777748542466725
"51",5,"Simu1","NIT",50,"cliver",0.0734115214332383
"52",5.1,"Simu1","NIT",50,"cliver",0.0692752374977091
"53",5.2,"Simu1","NIT",50,"cliver",0.0653574595836641
"54",5.3,"Simu1","NIT",50,"cliver",0.0616496201480501
"55",5.4,"Simu1","NIT",50,"cliver",0.0581430565828875
"56",5.5,"Simu1","NIT",50,"cliver",0.0548290921080197
"57",5.6,"Simu1","NIT",50,"cliver",0.0516990760232321
"58",5.7,"Simu1","NIT",50,"cliver",0.0487444632014092
"59",5.8,"Simu1","NIT",50,"cliver",0.0459568533977972
"60",5.9,"Simu1","NIT",50,"cliver",0.0433280440184765
"61",6,"Simu1","NIT",50,"cliver",0.0419624670086425
"62",6.1,"Simu1","NIT",50,"cliver",0.289275707322652
"63",6.2,"Simu1","NIT",50,"cliver",0.380820374787065
"64",6.3,"Simu1","NIT",50,"cliver",0.409596130178438
"65",6.4,"Simu1","NIT",50,"cliver",0.4259314977173
"66",6.5,"Simu1","NIT",50,"cliver",0.437146056855389
"67",6.6,"Simu1","NIT",50,"cliver",0.444708235713
"68",6.7,"Simu1","NIT",50,"cliver",0.449202535471114
"69",6.8,"Simu1","NIT",50,"cliver",0.451041551579496
"70",6.9,"Simu1","NIT",50,"cliver",0.450574312997596
"71",7,"Simu1","NIT",50,"cliver",0.448106856481627
"72",7.1,"Simu1","NIT",50,"cliver",0.443910114736088
"73",7.2,"Simu1","NIT",50,"cliver",0.438224747337575
"74",7.3,"Simu1","NIT",50,"cliver",0.431264829288336
"75",7.4,"Simu1","NIT",50,"cliver",0.423221381810444
"76",7.5,"Simu1","NIT",50,"cliver",0.414264876015568
"77",7.6,"Simu1","NIT",50,"cliver",0.404547576945843
"78",7.7,"Simu1","NIT",50,"cliver",0.394205496357761
"79",7.8,"Simu1","NIT",50,"cliver",0.383360132025685
"80",7.9,"Simu1","NIT",50,"cliver",0.372119918883591
"81",8,"Simu1","NIT",50,"cliver",0.360581521178957
"82",8.1,"Simu1","NIT",50,"cliver",0.348831000550083
"83",8.2,"Simu1","NIT",50,"cliver",0.33694484560412
"84",8.3,"Simu1","NIT",50,"cliver",0.324990900606417
"85",8.4,"Simu1","NIT",50,"cliver",0.313029176525203
"86",8.5,"Simu1","NIT",50,"cliver",0.301112603215069
"87",8.6,"Simu1","NIT",50,"cliver",0.28928767276143
"88",8.7,"Simu1","NIT",50,"cliver",0.277595113660535
"89",8.8,"Simu1","NIT",50,"cliver",0.266070345804317
"90",8.9,"Simu1","NIT",50,"cliver",0.254744056829675
"91",9,"Simu1","NIT",50,"cliver",0.243642656593667
"92",9.1,"Simu1","NIT",50,"cliver",0.232788650099746
"93",9.2,"Simu1","NIT",50,"cliver",0.22220100125597
"94",9.3,"Simu1","NIT",50,"cliver",0.211895482181539
"95",9.4,"Simu1","NIT",50,"cliver",0.201885061564378
"96",9.5,"Simu1","NIT",50,"cliver",0.192179978657188
"97",9.6,"Simu1","NIT",50,"cliver",0.182788250854059
"98",9.7,"Simu1","NIT",50,"cliver",0.173715726031347
"99",9.8,"Simu1","NIT",50,"cliver",0.164966187393289
"100",9.9,"Simu1","NIT",50,"cliver",0.156541734718505
"101",10,"Simu1","NIT",50,"cliver",0.148442979807427
"102",10.1,"Simu1","NIT",50,"cliver",0.140669012114655
"103",10.2,"Simu1","NIT",50,"cliver",0.133217564312673
"104",10.3,"Simu1","NIT",50,"cliver",0.126085225448548
"105",10.4,"Simu1","NIT",50,"cliver",0.119267592026149
"106",10.5,"Simu1","NIT",50,"cliver",0.112759222188592
"107",10.6,"Simu1","NIT",50,"cliver",0.106553900686279
"108",10.7,"Simu1","NIT",50,"cliver",0.100644612421248
"109",10.8,"Simu1","NIT",50,"cliver",0.0950235728183609
"110",10.9,"Simu1","NIT",50,"cliver",0.0896826401013442
"111",11,"Simu1","NIT",50,"cliver",0.0846132600202372
"112",11.1,"Simu1","NIT",50,"cliver",0.0798063906437841
"113",11.2,"Simu1","NIT",50,"cliver",0.075252270450837
"114",11.3,"Simu1","NIT",50,"cliver",0.0709418267922161
"115",11.4,"Simu1","NIT",50,"cliver",0.0668651328785207
"116",11.5,"Simu1","NIT",50,"cliver",0.0630124988152136
"117",11.6,"Simu1","NIT",50,"cliver",0.0593741001128002
"118",11.7,"Simu1","NIT",50,"cliver",0.0559402427108611
"119",11.8,"Simu1","NIT",50,"cliver",0.0527013379211097
"120",11.9,"Simu1","NIT",50,"cliver",0.049647928546463
"121",12,"Simu1","NIT",50,"cliver",0.0478835447307704
"122",12.1,"Simu1","NIT",50,"cliver",0.294979481356106
"123",12.2,"Simu1","NIT",50,"cliver",0.386466878860747
"124",12.3,"Simu1","NIT",50,"cliver",0.415084763816629
"125",12.4,"Simu1","NIT",50,"cliver",0.431228282619485
"126",12.5,"Simu1","NIT",50,"cliver",0.44224838499473
"127",12.6,"Simu1","NIT",50,"cliver",0.449618704069066
"128",12.7,"Simu1","NIT",50,"cliver",0.45392405832733
"129",12.8,"Simu1","NIT",50,"cliver",0.455578384035768
"130",12.9,"Simu1","NIT",50,"cliver",0.454930699542123
"131",13,"Simu1","NIT",50,"cliver",0.452287343111036
"132",13.1,"Simu1","NIT",50,"cliver",0.447919445935257
"133",13.2,"Simu1","NIT",50,"cliver",0.442067634703862
"134",13.3,"Simu1","NIT",50,"cliver",0.434946069649144
"135",13.4,"Simu1","NIT",50,"cliver",0.426745811019729
"136",13.5,"Simu1","NIT",50,"cliver",0.417637338325865
"137",13.6,"Simu1","NIT",50,"cliver",0.407772877316077
"138",13.7,"Simu1","NIT",50,"cliver",0.397288415888066
"139",13.8,"Simu1","NIT",50,"cliver",0.38630541025001
"140",13.9,"Simu1","NIT",50,"cliver",0.374932241641072
"141",14,"Simu1","NIT",50,"cliver",0.363265509869092
"142",14.1,"Simu1","NIT",50,"cliver",0.351391197477405
"143",14.2,"Simu1","NIT",50,"cliver",0.339385706910515
"144",14.3,"Simu1","NIT",50,"cliver",0.3273167843536
"145",14.4,"Simu1","NIT",50,"cliver",0.315244343466526
"146",14.5,"Simu1","NIT",50,"cliver",0.303221205777704
"147",14.6,"Simu1","NIT",50,"cliver",0.29129377305224
"148",14.7,"Simu1","NIT",50,"cliver",0.279502639542081
"149",14.8,"Simu1","NIT",50,"cliver",0.267883145853985
"150",14.9,"Simu1","NIT",50,"cliver",0.25646587792747
"151",15,"Simu1","NIT",50,"cliver",0.245277118791454
"152",15.1,"Simu1","NIT",50,"cliver",0.234339259872428
"153",15.2,"Simu1","NIT",50,"cliver",0.223671174424722
"154",15.3,"Simu1","NIT",50,"cliver",0.213288554378047
"155",15.4,"Simu1","NIT",50,"cliver",0.203204213703616
"156",15.5,"Simu1","NIT",50,"cliver",0.193428362431455
"157",15.6,"Simu1","NIT",50,"cliver",0.183968854270264
"158",15.7,"Simu1","NIT",50,"cliver",0.174831409941272
"159",15.8,"Simu1","NIT",50,"cliver",0.166019816656388
"160",15.9,"Simu1","NIT",50,"cliver",0.157536110141301
"161",16,"Simu1","NIT",50,"cliver",0.149380738600187
"162",16.1,"Simu1","NIT",50,"cliver",0.141552711527301
"163",16.2,"Simu1","NIT",50,"cliver",0.134049735372539
"164",16.3,"Simu1","NIT",50,"cliver",0.126868339366686
"165",16.4,"Simu1","NIT",50,"cliver",0.120003992479255
"166",16.5,"Simu1","NIT",50,"cliver",0.113451213566178
"167",16.6,"Simu1","NIT",50,"cliver",0.107203674900573
"168",16.7,"Simu1","NIT",50,"cliver",0.101254303265631
"169",16.8,"Simu1","NIT",50,"cliver",0.0955953744131649
"170",16.9,"Simu1","NIT",50,"cliver",0.0902186104508522
"171",17,"Simu1","NIT",50,"cliver",0.0851152614385846
"172",17.1,"Simu1","NIT",50,"cliver",0.0802762121830705
"173",17.2,"Simu1","NIT",50,"cliver",0.075692012688315
"174",17.3,"Simu1","NIT",50,"cliver",0.071353036196793
"175",17.4,"Simu1","NIT",50,"cliver",0.0672494953756669
"176",17.5,"Simu1","NIT",50,"cliver",0.0633716576432524
"177",17.6,"Simu1","NIT",50,"cliver",0.0597096762933264
"178",17.7,"Simu1","NIT",50,"cliver",0.0562536477840473
"179",17.8,"Simu1","NIT",50,"cliver",0.0529939072264542
"180",17.9,"Simu1","NIT",50,"cliver",0.0499210468547566
"181",18,"Simu1","NIT",50,"cliver",0.048138440801859
"182",18.1,"Simu1","NIT",50,"cliver",0.295223639199237
"183",18.2,"Simu1","NIT",50,"cliver",0.386706040265895
"184",18.3,"Simu1","NIT",50,"cliver",0.415315672510584
"185",18.4,"Simu1","NIT",50,"cliver",0.431450680982251
"186",18.5,"Simu1","NIT",50,"cliver",0.442461873987749
"187",18.6,"Simu1","NIT",50,"cliver",0.449822686281599
"188",18.7,"Simu1","NIT",50,"cliver",0.454119367087766
"189",18.8,"Simu1","NIT",50,"cliver",0.455765187589911
"190",18.9,"Simu1","NIT",50,"cliver",0.455109432522543
"191",19,"Simu1","NIT",50,"cliver",0.452458359145185
"192",19.1,"Simu1","NIT",50,"cliver",0.448082915285445
"193",19.2,"Simu1","NIT",50,"cliver",0.44222373538169
"194",19.3,"Simu1","NIT",50,"cliver",0.435095117463399
"195",19.4,"Simu1","NIT",50,"cliver",0.426888088234779
"196",19.5,"Simu1","NIT",50,"cliver",0.417773068640231
"197",19.6,"Simu1","NIT",50,"cliver",0.407902289534807
"198",19.7,"Simu1","NIT",50,"cliver",0.397411778432088
"199",19.8,"Simu1","NIT",50,"cliver",0.386422985883313
"200",19.9,"Simu1","NIT",50,"cliver",0.375044251183151
"201",20,"Simu1","NIT",50,"cliver",0.363372146772821
"202",20.1,"Simu1","NIT",50,"cliver",0.351492662210166
"203",20.2,"Simu1","NIT",50,"cliver",0.33948221228409
"204",20.3,"Simu1","NIT",50,"cliver",0.327408542906729
"205",20.4,"Simu1","NIT",50,"cliver",0.315331551375003
"206",20.5,"Simu1","NIT",50,"cliver",0.303304047155978
"207",20.6,"Simu1","NIT",50,"cliver",0.291372426270931
"208",20.7,"Simu1","NIT",50,"cliver",0.279577282919296
"209",20.8,"Simu1","NIT",50,"cliver",0.267953950365522
"210",20.9,"Simu1","NIT",50,"cliver",0.256533008671324
"211",21,"Simu1","NIT",50,"cliver",0.245340730413103
"212",21.1,"Simu1","NIT",50,"cliver",0.234399532926286
"213",21.2,"Simu1","NIT",50,"cliver",0.223728220025833
"214",21.3,"Simu1","NIT",50,"cliver",0.213342450992926
"215",21.4,"Simu1","NIT",50,"cliver",0.203255087076242
"216",21.5,"Simu1","NIT",50,"cliver",0.19347633809562
"217",21.6,"Simu1","NIT",50,"cliver",0.184014255332892
"218",21.7,"Simu1","NIT",50,"cliver",0.174874416434291
"219",21.8,"Simu1","NIT",50,"cliver",0.166060476793865
"220",21.9,"Simu1","NIT",50,"cliver",0.157574464425877
"221",22,"Simu1","NIT",50,"cliver",0.149416869560847
"222",22.1,"Simu1","NIT",50,"cliver",0.141586728016648
"223",22.2,"Simu1","NIT",50,"cliver",0.134081746938176
"224",22.3,"Simu1","NIT",50,"cliver",0.126898445290534
"225",22.4,"Simu1","NIT",50,"cliver",0.120032284180509
"226",22.5,"Simu1","NIT",50,"cliver",0.113477778345162
"227",22.6,"Simu1","NIT",50,"cliver",0.107228600488133
"228",22.7,"Simu1","NIT",50,"cliver",0.101277674221722
"229",22.8,"Simu1","NIT",50,"cliver",0.0956172665586981
"230",22.9,"Simu1","NIT",50,"cliver",0.0902390854844544
"231",23,"Simu1","NIT",50,"cliver",0.0851344031150887
"232",23.1,"Simu1","NIT",50,"cliver",0.0802940988198945
"233",23.2,"Simu1","NIT",50,"cliver",0.075708753755778
"234",23.3,"Simu1","NIT",50,"cliver",0.071368692745014
"235",23.4,"Simu1","NIT",50,"cliver",0.0672642610719805
"236",23.5,"Simu1","NIT",50,"cliver",0.0633856029863842
"237",23.6,"Simu1","NIT",50,"cliver",0.0597226132952863
"238",23.7,"Simu1","NIT",50,"cliver",0.0562655819759829
"239",23.8,"Simu1","NIT",50,"cliver",0.0530050455528969
"240",23.9,"Simu1","NIT",50,"cliver",0.0499314712747687
"241",24,"Simu1","NIT",50,"cliver",0.0481481372393221
"242",24.1,"Simu1","NIT",50,"cliver",0.295232879839499
"243",24.2,"Simu1","NIT",50,"cliver",0.386715479861491
"244",24.3,"Simu1","NIT",50,"cliver",0.415324107031815
"245",24.4,"Simu1","NIT",50,"cliver",0.431458633264098
"246",24.5,"Simu1","NIT",50,"cliver",0.442470222886861
"247",24.6,"Simu1","NIT",50,"cliver",0.449830740972396
"248",24.7,"Simu1","NIT",50,"cliver",0.454127057927975
"249",24.8,"Simu1","NIT",50,"cliver",0.455772652223076
"250",24.9,"Simu1","NIT",50,"cliver",0.455116561236179
"251",25,"Simu1","NIT",50,"cliver",0.452465130508815
