"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","NIT",50,"cliver",0
"2",0.1,"Simu1","NIT",50,"cliver",0.297037740104854
"3",0.2,"Simu1","NIT",50,"cliver",0.454494135596858
"4",0.3,"Simu1","NIT",50,"cliver",0.524573163973719
"5",0.4,"Simu1","NIT",50,"cliver",0.569779290954406
"6",0.5,"Simu1","NIT",50,"cliver",0.602107060227698
"7",0.6,"Simu1","NIT",50,"cliver",0.625174770917281
"8",0.7,"Simu1","NIT",50,"cliver",0.640827858893963
"9",0.8,"Simu1","NIT",50,"cliver",0.650387520232163
"10",0.9,"Simu1","NIT",50,"cliver",0.654913148682569
"11",1,"Simu1","NIT",50,"cliver",0.655280449323673
"12",1.1,"Simu1","NIT",50,"cliver",0.652219264037066
"13",1.2,"Simu1","NIT",50,"cliver",0.64633953026977
"14",1.3,"Simu1","NIT",50,"cliver",0.638152426966623
"15",1.4,"Simu1","NIT",50,"cliver",0.628085841657586
"16",1.5,"Simu1","NIT",50,"cliver",0.616498989415566
"17",1.6,"Simu1","NIT",50,"cliver",0.603693970627177
"18",1.7,"Simu1","NIT",50,"cliver",0.589924778707665
"19",1.8,"Simu1","NIT",50,"cliver",0.575405258122363
"20",1.9,"Simu1","NIT",50,"cliver",0.560315750249186
"21",2,"Simu1","NIT",50,"cliver",0.544808512591573
"22",2.1,"Simu1","NIT",50,"cliver",0.529012076027744
"23",2.2,"Simu1","NIT",50,"cliver",0.513034952343932
"24",2.3,"Simu1","NIT",50,"cliver",0.496968826844594
"25",2.4,"Simu1","NIT",50,"cliver",0.480891216019486
"26",2.5,"Simu1","NIT",50,"cliver",0.464867652001654
"27",2.6,"Simu1","NIT",50,"cliver",0.448953479737151
"28",2.7,"Simu1","NIT",50,"cliver",0.433195380703994
"29",2.8,"Simu1","NIT",50,"cliver",0.417632676427404
"30",2.9,"Simu1","NIT",50,"cliver",0.402298427060338
"31",3,"Simu1","NIT",50,"cliver",0.387220345635313
"32",3.1,"Simu1","NIT",50,"cliver",0.372421564253207
"33",3.2,"Simu1","NIT",50,"cliver",0.357921286363416
"34",3.3,"Simu1","NIT",50,"cliver",0.343735344516871
"35",3.4,"Simu1","NIT",50,"cliver",0.329876673612935
"36",3.5,"Simu1","NIT",50,"cliver",0.316355710332668
"37",3.6,"Simu1","NIT",50,"cliver",0.303180731946698
"38",3.7,"Simu1","NIT",50,"cliver",0.290358145766207
"39",3.8,"Simu1","NIT",50,"cliver",0.277892736847133
"40",3.9,"Simu1","NIT",50,"cliver",0.265787877520898
"41",4,"Simu1","NIT",50,"cliver",0.2540457044398
"42",4.1,"Simu1","NIT",50,"cliver",0.242667270724666
"43",4.2,"Simu1","NIT",50,"cliver",0.231652671797701
"44",4.3,"Simu1","NIT",50,"cliver",0.221001151266311
"45",4.4,"Simu1","NIT",50,"cliver",0.210711188828741
"46",4.5,"Simu1","NIT",50,"cliver",0.200780572488925
"47",4.6,"Simu1","NIT",50,"cliver",0.191206457033419
"48",4.7,"Simu1","NIT",50,"cliver",0.181985410601486
"49",4.8,"Simu1","NIT",50,"cliver",0.17311345140896
"50",4.9,"Simu1","NIT",50,"cliver",0.164586076618186
"51",5,"Simu1","NIT",50,"cliver",0.156398284909521
"52",5.1,"Simu1","NIT",50,"cliver",0.148544594545261
"53",5.2,"Simu1","NIT",50,"cliver",0.141019058948168
"54",5.3,"Simu1","NIT",50,"cliver",0.133815281287715
"55",5.4,"Simu1","NIT",50,"cliver",0.126926430556954
"56",5.5,"Simu1","NIT",50,"cliver",0.120345257899385
"57",5.6,"Simu1","NIT",50,"cliver",0.114064122258793
"58",5.7,"Simu1","NIT",50,"cliver",0.108075023511687
"59",5.8,"Simu1","NIT",50,"cliver",0.102369590994609
"60",5.9,"Simu1","NIT",50,"cliver",0.0969391591610732
"61",6,"Simu1","NIT",50,"cliver",0.0930313451116558
"62",6.1,"Simu1","NIT",50,"cliver",0.415505324901181
"63",6.2,"Simu1","NIT",50,"cliver",0.583860428784276
"64",6.3,"Simu1","NIT",50,"cliver",0.65969591371006
"65",6.4,"Simu1","NIT",50,"cliver",0.708245412451988
"66",6.5,"Simu1","NIT",50,"cliver",0.742507849660481
"67",6.6,"Simu1","NIT",50,"cliver",0.766476879169737
"68",6.7,"Simu1","NIT",50,"cliver",0.78219995021042
"69",6.8,"Simu1","NIT",50,"cliver",0.791145253215236
"70",6.9,"Simu1","NIT",50,"cliver",0.794492207563155
"71",7,"Simu1","NIT",50,"cliver",0.793217410299769
"72",7.1,"Simu1","NIT",50,"cliver",0.788135839935542
"73",7.2,"Simu1","NIT",50,"cliver",0.779929355333159
"74",7.3,"Simu1","NIT",50,"cliver",0.769169970284877
"75",7.4,"Simu1","NIT",50,"cliver",0.756337702500928
"76",7.5,"Simu1","NIT",50,"cliver",0.741835153558413
"77",7.6,"Simu1","NIT",50,"cliver",0.726000931421612
"78",7.7,"Simu1","NIT",50,"cliver",0.709120239870991
"79",7.8,"Simu1","NIT",50,"cliver",0.691433097429801
"80",7.9,"Simu1","NIT",50,"cliver",0.673141663548898
"81",8,"Simu1","NIT",50,"cliver",0.654416391203925
"82",8.1,"Simu1","NIT",50,"cliver",0.635401199974773
"83",8.2,"Simu1","NIT",50,"cliver",0.616217515683002
"84",8.3,"Simu1","NIT",50,"cliver",0.596967735982542
"85",8.4,"Simu1","NIT",50,"cliver",0.577738030584514
"86",8.5,"Simu1","NIT",50,"cliver",0.55860149625392
"87",8.6,"Simu1","NIT",50,"cliver",0.539618779046247
"88",8.7,"Simu1","NIT",50,"cliver",0.520841770715961
"89",8.8,"Simu1","NIT",50,"cliver",0.502313412706957
"90",8.9,"Simu1","NIT",50,"cliver",0.484069786925134
"91",9,"Simu1","NIT",50,"cliver",0.46614081507819
"92",9.1,"Simu1","NIT",50,"cliver",0.448551249698683
"93",9.2,"Simu1","NIT",50,"cliver",0.431321484236795
