"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","NIT",50,"cliver",0
"2",0.1,"Simu1","NIT",50,"cliver",0.244812180703783
"3",0.2,"Simu1","NIT",50,"cliver",0.362443168509729
"4",0.3,"Simu1","NIT",50,"cliver",0.398663762672384
"5",0.4,"Simu1","NIT",50,"cliver",0.414776578326496
"6",0.5,"Simu1","NIT",50,"cliver",0.424210115676123
"7",0.6,"Simu1","NIT",50,"cliver",0.430375392394815
"8",0.7,"Simu1","NIT",50,"cliver",0.434272568592518
"9",0.8,"Simu1","NIT",50,"cliver",0.436305271013794
"10",0.9,"Simu1","NIT",50,"cliver",0.436712556176379
"11",1,"Simu1","NIT",50,"cliver",0.435680511940143
"12",1.1,"Simu1","NIT",50,"cliver",0.433370296771867
"13",1.2,"Simu1","NIT",50,"cliver",0.429926979930416
"14",1.3,"Simu1","NIT",50,"cliver",0.42548119782473
"15",1.4,"Simu1","NIT",50,"cliver",0.420151511586887
"16",1.5,"Simu1","NIT",50,"cliver",0.414045655603237
"17",1.6,"Simu1","NIT",50,"cliver",0.407261668442473
"18",1.7,"Simu1","NIT",50,"cliver",0.399888742413712
"19",1.8,"Simu1","NIT",50,"cliver",0.392008027590825
"20",1.9,"Simu1","NIT",50,"cliver",0.383693480678669
"21",2,"Simu1","NIT",50,"cliver",0.375012526584655
"22",2.1,"Simu1","NIT",50,"cliver",0.36602659808153
"23",2.2,"Simu1","NIT",50,"cliver",0.356791717612
"24",2.3,"Simu1","NIT",50,"cliver",0.347358921504323
"25",2.4,"Simu1","NIT",50,"cliver",0.337774722330507
"26",2.5,"Simu1","NIT",50,"cliver",0.328081485623221
"27",2.6,"Simu1","NIT",50,"cliver",0.318317788883147
"28",2.7,"Simu1","NIT",50,"cliver",0.308518701658407
"29",2.8,"Simu1","NIT",50,"cliver",0.298716118873917
"30",2.9,"Simu1","NIT",50,"cliver",0.288938932552216
"31",3,"Simu1","NIT",50,"cliver",0.279213404062861
"32",3.1,"Simu1","NIT",50,"cliver",0.269563229219944
"33",3.2,"Simu1","NIT",50,"cliver",0.260009778244822
"34",3.3,"Simu1","NIT",50,"cliver",0.250572369933456
"35",3.4,"Simu1","NIT",50,"cliver",0.241268398958522
"36",3.5,"Simu1","NIT",50,"cliver",0.232113429397814
"37",3.6,"Simu1","NIT",50,"cliver",0.223121363008108
"38",3.7,"Simu1","NIT",50,"cliver",0.214304314214178
"39",3.8,"Simu1","NIT",50,"cliver",0.205673010048184
"40",3.9,"Simu1","NIT",50,"cliver",0.197236906709794
"41",4,"Simu1","NIT",50,"cliver",0.189004206392903
"42",4.1,"Simu1","NIT",50,"cliver",0.180981894050118
"43",4.2,"Simu1","NIT",50,"cliver",0.173175812575725
"44",4.3,"Simu1","NIT",50,"cliver",0.16559074046005
"45",4.4,"Simu1","NIT",50,"cliver",0.15823045924082
"46",4.5,"Simu1","NIT",50,"cliver",0.151097799743428
"47",4.6,"Simu1","NIT",50,"cliver",0.144194704244787
"48",4.7,"Simu1","NIT",50,"cliver",0.137522267955358
"49",4.8,"Simu1","NIT",50,"cliver",0.131080781573269
"50",4.9,"Simu1","NIT",50,"cliver",0.124869768098602
"51",5,"Simu1","NIT",50,"cliver",0.118888030640968
"52",5.1,"Simu1","NIT",50,"cliver",0.113133699074215
"53",5.2,"Simu1","NIT",50,"cliver",0.107604284873304
"54",5.3,"Simu1","NIT",50,"cliver",0.102296720847237
"55",5.4,"Simu1","NIT",50,"cliver",0.0972074138176752
"56",5.5,"Simu1","NIT",50,"cliver",0.0923322740803982
"57",5.6,"Simu1","NIT",50,"cliver",0.0876667872795103
"58",5.7,"Simu1","NIT",50,"cliver",0.0832060667495178
"59",5.8,"Simu1","NIT",50,"cliver",0.0789449008147952
"60",5.9,"Simu1","NIT",50,"cliver",0.0748777897416588
"61",6,"Simu1","NIT",50,"cliver",0.0720396972989412
"62",6.1,"Simu1","NIT",50,"cliver",0.337820624236563
"63",6.2,"Simu1","NIT",50,"cliver",0.462523412994263
