"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","NIT",50,"cliver",0
"2",0.1,"Simu1","NIT",50,"cliver",0.188650030478603
"3",0.2,"Simu1","NIT",50,"cliver",0.258377822719179
"4",0.3,"Simu1","NIT",50,"cliver",0.278075811592452
"5",0.4,"Simu1","NIT",50,"cliver",0.288697496531506
"6",0.5,"Simu1","NIT",50,"cliver",0.296081504922613
"7",0.6,"Simu1","NIT",50,"cliver",0.30127177164454
"8",0.7,"Simu1","NIT",50,"cliver",0.304601012715508
"9",0.8,"Simu1","NIT",50,"cliver",0.306285978397165
"10",0.9,"Simu1","NIT",50,"cliver",0.306511725426755
"11",1,"Simu1","NIT",50,"cliver",0.305446193691962
"12",1.1,"Simu1","NIT",50,"cliver",0.303242637768232
"13",1.2,"Simu1","NIT",50,"cliver",0.300041068574117
"14",1.3,"Simu1","NIT",50,"cliver",0.295969218762407
"15",1.4,"Simu1","NIT",50,"cliver",0.2911434986659
"16",1.5,"Simu1","NIT",50,"cliver",0.285669836307819
"17",1.6,"Simu1","NIT",50,"cliver",0.279644485867201
"18",1.7,"Simu1","NIT",50,"cliver",0.273154899134335
"19",1.8,"Simu1","NIT",50,"cliver",0.266280293555689
"20",1.9,"Simu1","NIT",50,"cliver",0.259092446176921
"21",2,"Simu1","NIT",50,"cliver",0.251656210346719
"22",2.1,"Simu1","NIT",50,"cliver",0.244030072157289
"23",2.2,"Simu1","NIT",50,"cliver",0.23626671701464
"24",2.3,"Simu1","NIT",50,"cliver",0.228413464901261
"25",2.4,"Simu1","NIT",50,"cliver",0.220512788569869
"26",2.5,"Simu1","NIT",50,"cliver",0.212602684138143
"27",2.6,"Simu1","NIT",50,"cliver",0.204716978176512
"28",2.7,"Simu1","NIT",50,"cliver",0.196885676164594
"29",2.8,"Simu1","NIT",50,"cliver",0.189135328466852
"30",2.9,"Simu1","NIT",50,"cliver",0.181489307212852
"31",3,"Simu1","NIT",50,"cliver",0.173968085094494
"32",3.1,"Simu1","NIT",50,"cliver",0.16658941519644
"33",3.2,"Simu1","NIT",50,"cliver",0.159368620028177
"34",3.3,"Simu1","NIT",50,"cliver",0.15231871312917
"35",3.4,"Simu1","NIT",50,"cliver",0.145450655065526
"36",3.5,"Simu1","NIT",50,"cliver",0.138773576057907
"37",3.6,"Simu1","NIT",50,"cliver",0.132294857260358
"38",3.7,"Simu1","NIT",50,"cliver",0.126020251944308
"39",3.8,"Simu1","NIT",50,"cliver",0.119953886854872
"40",3.9,"Simu1","NIT",50,"cliver",0.114098665224127
"41",4,"Simu1","NIT",50,"cliver",0.108456305053899
"42",4.1,"Simu1","NIT",50,"cliver",0.103027376685075
"43",4.2,"Simu1","NIT",50,"cliver",0.0978114078256187
"44",4.3,"Simu1","NIT",50,"cliver",0.0928070108436601
"45",4.4,"Simu1","NIT",50,"cliver",0.0880119722781957
"46",4.5,"Simu1","NIT",50,"cliver",0.0834233401982126
"47",4.6,"Simu1","NIT",50,"cliver",0.079037505000075
"48",4.7,"Simu1","NIT",50,"cliver",0.0748503222038345
"49",4.8,"Simu1","NIT",50,"cliver",0.0708571380661554
"50",4.9,"Simu1","NIT",50,"cliver",0.0670528653893012
"51",5,"Simu1","NIT",50,"cliver",0.0634320622419762
"52",5.1,"Simu1","NIT",50,"cliver",0.0599890565632506
"53",5.2,"Simu1","NIT",50,"cliver",0.056717903169673
"54",5.3,"Simu1","NIT",50,"cliver",0.0536125631512264
"55",5.4,"Simu1","NIT",50,"cliver",0.0506667290242675
"56",5.5,"Simu1","NIT",50,"cliver",0.0478741948443465
"57",5.6,"Simu1","NIT",50,"cliver",0.0452289049214146
"58",5.7,"Simu1","NIT",50,"cliver",0.042724569112527
"59",5.8,"Simu1","NIT",50,"cliver",0.0403547943330458
"60",5.9,"Simu1","NIT",50,"cliver",0.038113521139281
"61",6,"Simu1","NIT",50,"cliver",0.036916473783474
"62",6.1,"Simu1","NIT",50,"cliver",0.24134724847657
"63",6.2,"Simu1","NIT",50,"cliver",0.314685954313047
"64",6.3,"Simu1","NIT",50,"cliver",0.335186674889854
"65",6.4,"Simu1","NIT",50,"cliver",0.345825121211872
"66",6.5,"Simu1","NIT",50,"cliver",0.352931398760428
"67",6.6,"Simu1","NIT",50,"cliver",0.35766049736762
"68",6.7,"Simu1","NIT",50,"cliver",0.360380918457589
"69",6.8,"Simu1","NIT",50,"cliver",0.36133010885305
"70",6.9,"Simu1","NIT",50,"cliver",0.360709717449482
"71",7,"Simu1","NIT",50,"cliver",0.358702237977312
"72",7.1,"Simu1","NIT",50,"cliver",0.355474130974715
"73",7.2,"Simu1","NIT",50,"cliver",0.351177383634553
"74",7.3,"Simu1","NIT",50,"cliver",0.345950632396004
"75",7.4,"Simu1","NIT",50,"cliver",0.339920228974733
"76",7.5,"Simu1","NIT",50,"cliver",0.333201126810616
"77",7.6,"Simu1","NIT",50,"cliver",0.325897769208922
"78",7.7,"Simu1","NIT",50,"cliver",0.318105050132361
"79",7.8,"Simu1","NIT",50,"cliver",0.309908898198943
"80",7.9,"Simu1","NIT",50,"cliver",0.301387157075276
"81",8,"Simu1","NIT",50,"cliver",0.292610138499195
"82",8.1,"Simu1","NIT",50,"cliver",0.283641205556155
"83",8.2,"Simu1","NIT",50,"cliver",0.274537508527986
"84",8.3,"Simu1","NIT",50,"cliver",0.265350268136618
"85",8.4,"Simu1","NIT",50,"cliver",0.256125426074435
"86",8.5,"Simu1","NIT",50,"cliver",0.246904018220999
"87",8.6,"Simu1","NIT",50,"cliver",0.237722603125942
"88",8.7,"Simu1","NIT",50,"cliver",0.228613635770692
"89",8.8,"Simu1","NIT",50,"cliver",0.219605818103984
"90",8.9,"Simu1","NIT",50,"cliver",0.210724390365206
"91",9,"Simu1","NIT",50,"cliver",0.201991429160794
"92",9.1,"Simu1","NIT",50,"cliver",0.193426099906677
"93",9.2,"Simu1","NIT",50,"cliver",0.185045010975825
"94",9.3,"Simu1","NIT",50,"cliver",0.176862226046853
