"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","NIT",50,"cliver",0
"2",0.1,"Simu1","NIT",50,"cliver",0.245033809028396
"3",0.2,"Simu1","NIT",50,"cliver",0.365618257428454
"4",0.3,"Simu1","NIT",50,"cliver",0.406097372626294
"5",0.4,"Simu1","NIT",50,"cliver",0.426097522794824
"6",0.5,"Simu1","NIT",50,"cliver",0.438936798230176
"7",0.6,"Simu1","NIT",50,"cliver",0.448105164268809
"8",0.7,"Simu1","NIT",50,"cliver",0.45466903823229
"9",0.8,"Simu1","NIT",50,"cliver",0.4590765790462
"10",0.9,"Simu1","NIT",50,"cliver",0.461602844370864
"11",1,"Simu1","NIT",50,"cliver",0.462463619782884
"12",1.1,"Simu1","NIT",50,"cliver",0.461844229789812
"13",1.2,"Simu1","NIT",50,"cliver",0.459909754634686
"14",1.3,"Simu1","NIT",50,"cliver",0.456808688100278
"15",1.4,"Simu1","NIT",50,"cliver",0.452674592384299
"16",1.5,"Simu1","NIT",50,"cliver",0.447628121379193
"17",1.6,"Simu1","NIT",50,"cliver",0.44177840022486
"18",1.7,"Simu1","NIT",50,"cliver",0.435224344998992
"19",1.8,"Simu1","NIT",50,"cliver",0.428055656013018
"20",1.9,"Simu1","NIT",50,"cliver",0.420353687387265
"21",2,"Simu1","NIT",50,"cliver",0.412192349850419
"22",2.1,"Simu1","NIT",50,"cliver",0.403638871704404
"23",2.2,"Simu1","NIT",50,"cliver",0.394754431697285
"24",2.3,"Simu1","NIT",50,"cliver",0.38559470197833
"25",2.4,"Simu1","NIT",50,"cliver",0.376210350043095
"26",2.5,"Simu1","NIT",50,"cliver",0.366647504664438
"27",2.6,"Simu1","NIT",50,"cliver",0.356948169126007
"28",2.7,"Simu1","NIT",50,"cliver",0.347150579079858
"29",2.8,"Simu1","NIT",50,"cliver",0.337289520547627
"30",2.9,"Simu1","NIT",50,"cliver",0.327396622269318
"31",3,"Simu1","NIT",50,"cliver",0.317500624353643
"32",3.1,"Simu1","NIT",50,"cliver",0.307627620115891
"33",3.2,"Simu1","NIT",50,"cliver",0.297801272407532
"34",3.3,"Simu1","NIT",50,"cliver",0.288043009933613
"35",3.4,"Simu1","NIT",50,"cliver",0.278372207705697
"36",3.5,"Simu1","NIT",50,"cliver",0.268806352413577
"37",3.6,"Simu1","NIT",50,"cliver",0.259361192653088
"38",3.7,"Simu1","NIT",50,"cliver",0.250050875298631
"39",3.8,"Simu1","NIT",50,"cliver",0.240888070039913
"40",3.9,"Simu1","NIT",50,"cliver",0.231884083382893
"41",4,"Simu1","NIT",50,"cliver",0.223048962638001
"42",4.1,"Simu1","NIT",50,"cliver",0.214391589843683
"43",4.2,"Simu1","NIT",50,"cliver",0.205919767435273
"44",4.3,"Simu1","NIT",50,"cliver",0.197640295611622
"45",4.4,"Simu1","NIT",50,"cliver",0.189559042124211
"46",4.5,"Simu1","NIT",50,"cliver",0.18168100490267
"47",4.6,"Simu1","NIT",50,"cliver",0.17401036823757
"48",4.7,"Simu1","NIT",50,"cliver",0.166550553002022
"49",4.8,"Simu1","NIT",50,"cliver",0.159304261386244
"50",4.9,"Simu1","NIT",50,"cliver",0.152273516625096
"51",5,"Simu1","NIT",50,"cliver",0.14545969856173
"52",5.1,"Simu1","NIT",50,"cliver",0.138863575433189
"53",5.2,"Simu1","NIT",50,"cliver",0.132485332875228
"54",5.3,"Simu1","NIT",50,"cliver",0.126324600146733
"55",5.4,"Simu1","NIT",50,"cliver",0.120380475608157
"56",5.5,"Simu1","NIT",50,"cliver",0.114651549543473
"57",5.6,"Simu1","NIT",50,"cliver",0.109135930344421
"58",5.7,"Simu1","NIT",50,"cliver",0.103831262852631
"59",5.8,"Simu1","NIT",50,"cliver",0.0987347681708177
"60",5.9,"Simu1","NIT",50,"cliver",0.0938432448515877
"61",6,"Simu1","NIT",50,"cliver",0.0901942040987616
"62",6.1,"Simu1","NIT",50,"cliver",0.35592042038677
"63",6.2,"Simu1","NIT",50,"cliver",0.484044906186807
"64",6.3,"Simu1","NIT",50,"cliver",0.526812402084473
"65",6.4,"Simu1","NIT",50,"cliver",0.546972120078527
"66",6.5,"Simu1","NIT",50,"cliver",0.559153318382392
"67",6.6,"Simu1","NIT",50,"cliver",0.567273706261123
"68",6.7,"Simu1","NIT",50,"cliver",0.572542079210291
"69",6.8,"Simu1","NIT",50,"cliver",0.575466795345727
"70",6.9,"Simu1","NIT",50,"cliver",0.576357350818074
"71",7,"Simu1","NIT",50,"cliver",0.575452788281675
"72",7.1,"Simu1","NIT",50,"cliver",0.572958455220198
"73",7.2,"Simu1","NIT",50,"cliver",0.569056727652501
"74",7.3,"Simu1","NIT",50,"cliver",0.563910616300132
"75",7.4,"Simu1","NIT",50,"cliver",0.557666958435525
"76",7.5,"Simu1","NIT",50,"cliver",0.550458167638712
"77",7.6,"Simu1","NIT",50,"cliver",0.542403988378546
"78",7.7,"Simu1","NIT",50,"cliver",0.533612708511182
"79",7.8,"Simu1","NIT",50,"cliver",0.524182352750606
"80",7.9,"Simu1","NIT",50,"cliver",0.514201788982398
"81",8,"Simu1","NIT",50,"cliver",0.503751751346654
"82",8.1,"Simu1","NIT",50,"cliver",0.492905489653087
"83",8.2,"Simu1","NIT",50,"cliver",0.481729561637376
"84",8.3,"Simu1","NIT",50,"cliver",0.47028443029183
"85",8.4,"Simu1","NIT",50,"cliver",0.458625057266947
"86",8.5,"Simu1","NIT",50,"cliver",0.446801394483957
"87",8.6,"Simu1","NIT",50,"cliver",0.434858830313104
"88",8.7,"Simu1","NIT",50,"cliver",0.422838581925037
"89",8.8,"Simu1","NIT",50,"cliver",0.410778049002306
"90",8.9,"Simu1","NIT",50,"cliver",0.398711181230955
"91",9,"Simu1","NIT",50,"cliver",0.386668674668803
"92",9.1,"Simu1","NIT",50,"cliver",0.374678446462297
"93",9.2,"Simu1","NIT",50,"cliver",0.362765541945867
"94",9.3,"Simu1","NIT",50,"cliver",0.350952691634709
"95",9.4,"Simu1","NIT",50,"cliver",0.339260258702114
"96",9.5,"Simu1","NIT",50,"cliver",0.327706678454122
"97",9.6,"Simu1","NIT",50,"cliver",0.316308462303084
"98",9.7,"Simu1","NIT",50,"cliver",0.305080471516759
"99",9.8,"Simu1","NIT",50,"cliver",0.29403572135748
"100",9.9,"Simu1","NIT",50,"cliver",0.283185729553966
"101",10,"Simu1","NIT",50,"cliver",0.2725407653203
"102",10.1,"Simu1","NIT",50,"cliver",0.262109901992209
"103",10.2,"Simu1","NIT",50,"cliver",0.25190105679352
"104",10.3,"Simu1","NIT",50,"cliver",0.241921065468003
"105",10.4,"Simu1","NIT",50,"cliver",0.232175778417895
"106",10.5,"Simu1","NIT",50,"cliver",0.222670148182732
"107",10.6,"Simu1","NIT",50,"cliver",0.213408295177868
"108",10.7,"Simu1","NIT",50,"cliver",0.204393571482295
"109",10.8,"Simu1","NIT",50,"cliver",0.195628622723899
"110",10.9,"Simu1","NIT",50,"cliver",0.187115427253528
"111",11,"Simu1","NIT",50,"cliver",0.178855329443842
"112",11.1,"Simu1","NIT",50,"cliver",0.170849079751103
"113",11.2,"Simu1","NIT",50,"cliver",0.163096871320599
"114",11.3,"Simu1","NIT",50,"cliver",0.155598370142463
"115",11.4,"Simu1","NIT",50,"cliver",0.148352741020604
"116",11.5,"Simu1","NIT",50,"cliver",0.141358663728079
"117",11.6,"Simu1","NIT",50,"cliver",0.134614346928211
"118",11.7,"Simu1","NIT",50,"cliver",0.128117549757965
"119",11.8,"Simu1","NIT",50,"cliver",0.121865602006067
"120",11.9,"Simu1","NIT",50,"cliver",0.115855413305266
"121",12,"Simu1","NIT",50,"cliver",0.111124881512888
"122",12.1,"Simu1","NIT",50,"cliver",0.376136720768619
"123",12.2,"Simu1","NIT",50,"cliver",0.50403944317259
"124",12.3,"Simu1","NIT",50,"cliver",0.546383950326013
"125",12.4,"Simu1","NIT",50,"cliver",0.566004615478054
"126",12.5,"Simu1","NIT",50,"cliver",0.577615933862936
"127",12.6,"Simu1","NIT",50,"cliver",0.585162096460167
"128",12.7,"Simu1","NIT",50,"cliver",0.589864851414476
"129",12.8,"Simu1","NIT",50,"cliver",0.592235321055248
"130",12.9,"Simu1","NIT",50,"cliver",0.592583605303033
"131",13,"Simu1","NIT",50,"cliver",0.591149414505037
"132",13.1,"Simu1","NIT",50,"cliver",0.588138599582483
"133",13.2,"Simu1","NIT",50,"cliver",0.583733155299842
"134",13.3,"Simu1","NIT",50,"cliver",0.578096184573688
"135",13.4,"Simu1","NIT",50,"cliver",0.571374474406499
"136",13.5,"Simu1","NIT",50,"cliver",0.563700316697974
"137",13.6,"Simu1","NIT",50,"cliver",0.55519332117207
"138",13.7,"Simu1","NIT",50,"cliver",0.545961628557481
"139",13.8,"Simu1","NIT",50,"cliver",0.536103088218321
"140",13.9,"Simu1","NIT",50,"cliver",0.525706395624153
"141",14,"Simu1","NIT",50,"cliver",0.51485205202154
"142",14.1,"Simu1","NIT",50,"cliver",0.503613125703789
"143",14.2,"Simu1","NIT",50,"cliver",0.492055947701733
"144",14.3,"Simu1","NIT",50,"cliver",0.480240751745175
