"","time","Simulation","Chemical","dose","variable","value"
"1",0,"Simu1","NIT",10,"cliver",0
"2",0.1,"Simu1","NIT",10,"cliver",0.0232166349830165
"3",0.2,"Simu1","NIT",10,"cliver",0.0814040247856355
"4",0.3,"Simu1","NIT",10,"cliver",0.161731512426497
"5",0.4,"Simu1","NIT",10,"cliver",0.249179265797738
"6",0.5,"Simu1","NIT",10,"cliver",0.335399806853899
"7",0.6,"Simu1","NIT",10,"cliver",0.416748308639713
"8",0.7,"Simu1","NIT",10,"cliver",0.491659897658769
"9",0.8,"Simu1","NIT",10,"cliver",0.559543209539313
"10",0.9,"Simu1","NIT",10,"cliver",0.620319631011646
"11",1,"Simu1","NIT",10,"cliver",0.674162892734694
"12",1.1,"Simu1","NIT",10,"cliver",0.721383583449594
"13",1.2,"Simu1","NIT",10,"cliver",0.762344626255246
"14",1.3,"Simu1","NIT",10,"cliver",0.797429148471067
"15",1.4,"Simu1","NIT",10,"cliver",0.827018872607925
"16",1.5,"Simu1","NIT",10,"cliver",0.851478776377867
"17",1.6,"Simu1","NIT",10,"cliver",0.871157283476382
"18",1.7,"Simu1","NIT",10,"cliver",0.886395791164283
"19",1.8,"Simu1","NIT",10,"cliver",0.897503902369797
"20",1.9,"Simu1","NIT",10,"cliver",0.904765036035026
"21",2,"Simu1","NIT",10,"cliver",0.908508548902457
"22",2.1,"Simu1","NIT",10,"cliver",0.9089867422014
"23",2.2,"Simu1","NIT",10,"cliver",0.906465917016934
"24",2.3,"Simu1","NIT",10,"cliver",0.901203629502943
"25",2.4,"Simu1","NIT",10,"cliver",0.893446599810864
"26",2.5,"Simu1","NIT",10,"cliver",0.883431511160599
"27",2.6,"Simu1","NIT",10,"cliver",0.871385059035617
"28",2.7,"Simu1","NIT",10,"cliver",0.857521374769101
"29",2.8,"Simu1","NIT",10,"cliver",0.842047313625355
"30",2.9,"Simu1","NIT",10,"cliver",0.825152554014946
"31",3,"Simu1","NIT",10,"cliver",0.807040638660968
"32",3.1,"Simu1","NIT",10,"cliver",0.787845655588334
"33",3.2,"Simu1","NIT",10,"cliver",0.767748658055236
"34",3.3,"Simu1","NIT",10,"cliver",0.746906191972768
"35",3.4,"Simu1","NIT",10,"cliver",0.725448176628733
"36",3.5,"Simu1","NIT",10,"cliver",0.703486330101423
"37",3.6,"Simu1","NIT",10,"cliver",0.681149931967345
"38",3.7,"Simu1","NIT",10,"cliver",0.658544670028329
"39",3.8,"Simu1","NIT",10,"cliver",0.63576113282646
"40",3.9,"Simu1","NIT",10,"cliver",0.612891446545649
"41",4,"Simu1","NIT",10,"cliver",0.590009874896462
"42",4.1,"Simu1","NIT",10,"cliver",0.567188443708726
"43",4.2,"Simu1","NIT",10,"cliver",0.5444861328943
"44",4.3,"Simu1","NIT",10,"cliver",0.52196683749609
"45",4.4,"Simu1","NIT",10,"cliver",0.499681749315661
"46",4.5,"Simu1","NIT",10,"cliver",0.477680864823527
"47",4.6,"Simu1","NIT",10,"cliver",0.455989917202151
"48",4.7,"Simu1","NIT",10,"cliver",0.434656978262888
"49",4.8,"Simu1","NIT",10,"cliver",0.413714916735937
"50",4.9,"Simu1","NIT",10,"cliver",0.393200035151153
"51",5,"Simu1","NIT",10,"cliver",0.373128851182086
"52",5.1,"Simu1","NIT",10,"cliver",0.353528179092755
"53",5.2,"Simu1","NIT",10,"cliver",0.334414886474844
"54",5.3,"Simu1","NIT",10,"cliver",0.315830010686623
