X,est_value
EC_7,0.1115075
EC_33,0.4943076
EC_66,0.8924397
tau1,0.969522593
degrade,0.022454819
n,2.822573304
sc_ISR,0.389929883
sc_OSR,2.480433293
buildA4Base,0.008387897
V_A4S,0.135310636
Vmax_C,1.96E-13
nC,2.071803163
K_C,0.787525822
k_K1_mod,1000
k_K1_unmod,20.48402412
buildN2Base,0.160287216
V_degN2,0.14444414
buildS1Base,522.7743341
Vmax_S1,999.9977045
nS1,6.826606399
K_S1,0.99721914
V_N2A4,0.1
buildGBase,0.167030799
Vmax_G,0.1836988
nG,5.789006117
K_G,1.229425799
degGA4,7.64E-18
degradA4,0.027319636
degradC,6.42E-14
degradN2,0.197899486
degradS1,1159.250839
degradG,0.168906353
q,0.33
growth_rate,0.03520958
Ki,3.503751
CM,1
death_byA_rate,0.016506684
float_rate,0.012658861
sc,0.001333333
