X,est_value
EC_6,0.078366266
EC_30,0.462434944
EC_60,0.60067566
EC_120,0.877157096
tau1,0.006373009
degrade,1.326255423
n,1
sc_ISR,0.520642925
sc_OSR,0.751233263
buildA4Base,0.008387897
V_A4S,0.135310636
Vmax_C,0.329058075
nC,2.071803163
K_C,0.787525822
k_K1_mod,1000
k_K1_unmod,20.48402412
buildN2Base,0.160287216
V_degN2,0.14444414
buildS1Base,522.7743341
Vmax_S1,999.9977045
nS1,6.826606399
K_S1,0.99721914
V_N2A4,0.1
buildGBase,0.167030799
Vmax_G,1.179624123
nG,5.789006117
K_G,1.229425799
degGA4,3.173106756
degradA4,0.027319636
degradC,0.108020092
degradN2,0.197899486
degradS1,1159.250839
degradG,0.090705945
q,0.33
growth_rate,0.03520958
Ki,3.503751
CM,1
death_byC_rate,0.002548982
float_rate,0.012658861
sc,0.03333333
